date,region,chemical_substance,items,net_cost ,actual_cost
2021-01,EAST OF ENGLAND,Flupentixol hydrochloride,215.0,1397.66,1322.50303
2021-01,EAST OF ENGLAND,Flupentixol decanoate,358.0,4468.41,4172.63479
2021-01,EAST OF ENGLAND,Amitriptyline hydrochloride,159088.0,332587.2,312997.23096
2021-01,EAST OF ENGLAND,Clomipramine hydrochloride,2866.0,22525.39,21065.98602
2021-01,EAST OF ENGLAND,Dosulepin hydrochloride,5124.0,64246.51,59931.57947
2021-01,EAST OF ENGLAND,Doxepin,207.0,39800.42,37050.30565
2021-01,EAST OF ENGLAND,Imipramine hydrochloride,1319.0,23513.34,21916.70396
2021-01,EAST OF ENGLAND,Lofepramine hydrochloride,1358.0,27759.6,25927.75267
2021-01,EAST OF ENGLAND,Nortriptyline,7724.0,35603.14,33814.59861
2021-01,EAST OF ENGLAND,Trazodone hydrochloride,7402.0,34867.46,33043.51773
2021-01,EAST OF ENGLAND,Trimipramine maleate,226.0,86841.69,80834.91348
2021-01,EAST OF ENGLAND,Isocarboxazid,18.0,7394.75,6883.36569
2021-01,EAST OF ENGLAND,Moclobemide,77.0,2917.26,2720.6588
2021-01,EAST OF ENGLAND,Phenelzine sulfate,59.0,21822.81,20313.661
2021-01,EAST OF ENGLAND,Tranylcypromine sulfate,38.0,28676.72,26692.28082
2021-01,EAST OF ENGLAND,Citalopram hydrobromide,171838.0,231148.93,218598.71528
2021-01,EAST OF ENGLAND,Fluoxetine hydrochloride,69808.0,270269.18,254939.26475
2021-01,EAST OF ENGLAND,Fluvoxamine maleate,251.0,5083.16,4748.26865
2021-01,EAST OF ENGLAND,Paroxetine hydrochloride,13866.0,49708.66,46905.97672
2021-01,EAST OF ENGLAND,Sertraline hydrochloride,187596.0,1415809.7,1322271.6919
2021-01,EAST OF ENGLAND,Escitalopram,13687.0,30807.8,28978.79464
2021-01,EAST OF ENGLAND,Citalopram hydrochloride,745.0,12255.6,11415.68434
2021-01,EAST OF ENGLAND,Vortioxetine,2246.0,54725.22,51020.82404
2021-01,EAST OF ENGLAND,Flupentixol hydrochloride,1848.0,5069.1,4863.62532
2021-01,EAST OF ENGLAND,Tryptophan,6.0,1048.78,976.32692
2021-01,EAST OF ENGLAND,Reboxetine,192.0,3302.85,3088.84965
2021-01,EAST OF ENGLAND,Venlafaxine,60447.0,372496.58,349306.29638
2021-01,EAST OF ENGLAND,Mirtazapine,92589.0,244969.94,231710.66088
2021-01,EAST OF ENGLAND,Duloxetine hydrochloride,25600.0,102223.64,95981.04043
2021-01,EAST OF ENGLAND,Agomelatine,184.0,7691.79,7165.85891
2021-01,EAST OF ENGLAND,Bupropion hydrochloride,178.0,6744.98,6288.33938
2021-01,LONDON,Flupentixol hydrochloride,441.0,2486.55,2363.22587
2021-01,LONDON,Flupentixol decanoate,600.0,14931.62,13927.096
