date,country,group,items,population,items_per_1k_norm,year,month,working_days,items_per_workday_1k,tavg_mean,tavg_median,tavg_std,tmin_mean,tmin_median,tmin_std,tmax_mean,tmax_median,tmax_std,prcp_mean,prcp_median,prcp_std,tsun_mean,tsun_median,tsun_std
2021-01-01,England,Antidepressants,6677221.0,56489800,114.39,2021,1,20,124.11,3.5,3.1,1.2,1.2,0.8,1.2,5.6,5.3,1.2,98.1,93.5,33.5,3139.6,3468.0,1011.8
2021-01-01,England,Anxiolytics,1959228.0,56489800,33.56,2021,1,20,36.42,3.5,3.1,1.2,1.2,0.8,1.2,5.6,5.3,1.2,98.1,93.5,33.5,3139.6,3468.0,1011.8
2021-01-01,Spain,Antidepressants,3892410.0,47400798,79.47,2021,1,19,90.76,8.5,8.7,2.7,4.1,4.6,2.8,12.8,12.6,3.0,97.1,68.0,71.9,8581.9,9510.0,3109.1
2021-01-01,Spain,Anxiolytics,4802610.0,47400798,98.05,2021,1,19,111.98,8.5,8.7,2.7,4.1,4.6,2.8,12.8,12.6,3.0,97.1,68.0,71.9,8581.9,9510.0,3109.1
2021-02-01,England,Antidepressants,6305584.0,56541183,119.49,2021,2,20,117.1,5.2,4.9,0.8,2.6,2.5,0.9,7.7,7.8,0.9,65.2,62.5,22.2,3926.1,3936.0,680.2
2021-02-01,England,Anxiolytics,1855231.0,56541183,35.16,2021,2,20,34.45,5.2,4.9,0.8,2.6,2.5,0.9,7.7,7.8,0.9,65.2,62.5,22.2,3926.1,3936.0,680.2
2021-02-01,Spain,Antidepressants,3720430.0,47385887,84.12,2021,2,20,82.44,12.4,12.8,1.9,8.1,9.0,2.1,16.7,16.7,1.9,69.5,34.0,96.6,7773.8,8400.0,1835.5
2021-02-01,Spain,Anxiolytics,4619320.0,47385887,104.45,2021,2,20,102.36,12.4,12.8,1.9,8.1,9.0,2.1,16.7,16.7,1.9,69.5,34.0,96.6,7773.8,8400.0,1835.5
2021-03-01,England,Antidepressants,7090344.0,56592566,121.25,2021,3,23,114.39,7.2,7.1,0.5,3.9,3.8,0.6,10.5,10.5,0.6,54.0,42.5,33.4,6518.8,6438.0,1451.7
2021-03-01,England,Anxiolytics,2071846.0,56592566,35.43,2021,3,23,33.43,7.2,7.1,0.5,3.9,3.8,0.6,10.5,10.5,0.6,54.0,42.5,33.4,6518.8,6438.0,1451.7
2021-03-01,Spain,Antidepressants,4335070.0,47370976,88.56,2021,3,23,83.56,12.4,12.0,1.9,7.0,7.0,2.2,17.8,17.1,2.0,20.9,18.0,16.7,13130.6,13500.0,2619.6
2021-03-01,Spain,Anxiolytics,5296630.0,47370976,108.2,2021,3,23,102.09,12.4,12.0,1.9,7.0,7.0,2.2,17.8,17.1,2.0,20.9,18.0,16.7,13130.6,13500.0,2619.6
2021-04-01,England,Antidepressants,6858831.0,56643950,121.09,2021,4,20,127.14,6.5,6.3,0.8,1.8,1.7,1.1,10.9,11.1,1.2,27.9,16.5,24.9,11431.6,12156.0,2811.1
2021-04-01,England,Anxiolytics,1984972.0,56643950,35.04,2021,4,20,36.8,6.5,6.3,0.8,1.8,1.7,1.1,10.9,11.1,1.2,27.9,16.5,24.9,11431.6,12156.0,2811.1
2021-04-01,Spain,Antidepressants,4022200.0,47356065,84.94,2021,4,21,84.94,14.4,13.9,2.3,9.5,9.3,2.7,19.3,18.6,2.3,57.1,54.5,23.3,11175.0,10680.0,1700.6
2021-04-01,Spain,Anxiolytics,4896670.0,47356065,103.4,2021,4,21,103.4,14.4,13.9,2.3,9.5,9.3,2.7,19.3,18.6,2.3,57.1,54.5,23.3,11175.0,10680.0,1700.6
2021-05-01,England,Antidepressants,6560277.0,56695333,111.98,2021,5,19,127.89,10.1,10.0,0.6,6.4,6.4,0.8,13.8,13.9,0.7,83.5,88.0,30.3,9842.2,9420.0,1503.5
2021-05-01,England,Anxiolytics,1889241.0,56695333,32.25,2021,5,19,36.83,10.1,10.0,0.6,6.4,6.4,0.8,13.8,13.9,0.7,83.5,88.0,30.3,9842.2,9420.0,1503.5
2021-05-01,Spain,Antidepressants,4082910.0,47352989,83.44,2021,5,21,86.22,17.9,18.2,2.8,12.2,12.9,3.0,23.6,24.8,3.5,42.9,27.5,39.4,16357.5,17100.0,3198.0
2021-05-01,Spain,Anxiolytics,4917090.0,47352989,100.49,2021,5,21,103.84,17.9,18.2,2.8,12.2,12.9,3.0,23.6,24.8,3.5,42.9,27.5,39.4,16357.5,17100.0,3198.0
2021-06-01,England,Antidepressants,6978611.0,56746716,122.98,2021,6,22,117.39,15.5,15.7,0.7,11.4,11.5,0.9,19.6,19.7,1.0,50.4,44.0,28.2,11290.2,10585.0,1268.3
2021-06-01,England,Anxiolytics,2003928.0,56746716,35.31,2021,6,22,33.71,15.5,15.7,0.7,11.4,11.5,0.9,19.6,19.7,1.0,50.4,44.0,28.2,11290.2,10585.0,1268.3
2021-06-01,Spain,Antidepressants,4158319.999999999,47349912,87.82,2021,6,22,83.83,22.0,23.2,2.9,16.5,16.9,3.1,27.6,28.5,3.5,35.0,19.5,41.4,16635.0,17400.0,3985.0
2021-06-01,Spain,Anxiolytics,4952420.0,47349912,104.59,2021,6,22,99.84,22.0,23.2,2.9,16.5,16.9,3.1,27.6,28.5,3.5,35.0,19.5,41.4,16635.0,17400.0,3985.0
2021-07-01,England,Antidepressants,6978786.0,56798099,118.91,2021,7,22,117.29,17.5,17.6,0.7,13.7,13.8,0.8,21.5,21.7,1.0,74.1,71.5,16.6,10656.3,10610.0,1619.4
2021-07-01,England,Anxiolytics,2016669.0,56798099,34.36,2021,7,22,33.89,17.5,17.6,0.7,13.7,13.8,0.8,21.5,21.7,1.0,74.1,71.5,16.6,10656.3,10610.0,1619.4
2021-07-01,Spain,Antidepressants,4211590.0,47346836,86.08,2021,7,22,84.91,24.4,25.6,3.8,18.5,19.5,3.4,30.3,31.8,5.0,9.8,4.0,12.9,18922.5,21240.0,5191.2
2021-07-01,Spain,Anxiolytics,4955850.0,47346836,101.29,2021,7,22,99.91,24.4,25.6,3.8,18.5,19.5,3.4,30.3,31.8,5.0,9.8,4.0,12.9,18922.5,21240.0,5191.2
2021-08-01,England,Antidepressants,6679132.0,56849482,113.7,2021,8,21,117.49,15.9,16.0,0.6,12.7,12.8,0.8,19.4,19.4,0.6,43.5,45.0,12.6,8537.0,8654.0,1654.7
2021-08-01,England,Anxiolytics,1928527.0,56849482,32.83,2021,8,21,33.92,15.9,16.0,0.6,12.7,12.8,0.8,19.4,19.4,0.6,43.5,45.0,12.6,8537.0,8654.0,1654.7
2021-08-01,Spain,Antidepressants,4062870.0,47372756,83.0,2021,8,22,81.87,24.8,26.0,3.6,19.1,19.8,3.6,30.6,31.6,4.4,15.9,15.5,13.3,17212.5,16920.0,3937.7
2021-08-01,Spain,Anxiolytics,4795060.0,47372756,97.95,2021,8,22,96.62,24.8,26.0,3.6,19.1,19.8,3.6,30.6,31.6,4.4,15.9,15.5,13.3,17212.5,16920.0,3937.7
2021-09-01,England,Antidepressants,7008868.0,56900865,123.18,2021,9,22,117.58,15.8,15.8,0.6,12.2,12.1,0.7,19.7,19.8,0.8,64.9,56.0,19.7,8017.1,7768.0,1050.8
2021-09-01,England,Anxiolytics,2014694.0,56900865,35.41,2021,9,22,33.8,15.8,15.8,0.6,12.2,12.1,0.7,19.7,19.8,0.8,64.9,56.0,19.7,8017.1,7768.0,1050.8
2021-09-01,Spain,Antidepressants,4166350.000000001,47398675,87.9,2021,9,22,83.9,22.4,23.0,2.7,17.2,17.8,2.8,27.4,27.4,2.7,60.8,54.5,36.6,13320.0,13350.0,2449.2
2021-09-01,Spain,Anxiolytics,4906270.0,47398675,103.51,2021,9,22,98.81,22.4,23.0,2.7,17.2,17.8,2.8,27.4,27.4,2.7,60.8,54.5,36.6,13320.0,13350.0,2449.2
2021-10-01,England,Antidepressants,6726914.0,56952248,114.3,2021,10,21,118.11,12.2,12.1,0.7,9.3,9.1,0.8,15.0,14.8,0.8,97.8,88.0,34.1,5720.3,5820.0,500.3
2021-10-01,England,Anxiolytics,1930358.0,56952248,32.8,2021,10,21,33.89,12.2,12.1,0.7,9.3,9.1,0.8,15.0,14.8,0.8,97.8,88.0,34.1,5720.3,5820.0,500.3
2021-10-01,Spain,Antidepressants,4167010.0,47424595,85.03,2021,10,20,92.26,17.9,17.5,2.7,12.4,12.6,2.9,23.5,22.8,2.8,46.1,33.0,48.9,13387.5,14070.0,2507.0
2021-10-01,Spain,Anxiolytics,4909110.0,47424595,100.17,2021,10,20,108.69,17.9,17.5,2.7,12.4,12.6,2.9,23.5,22.8,2.8,46.1,33.0,48.9,13387.5,14070.0,2507.0
2021-11-01,England,Antidepressants,7005763.0,57003632,122.9,2021,11,22,117.31,7.9,7.6,0.7,5.3,5.1,0.8,10.4,10.2,0.7,53.5,52.0,35.0,3765.1,3695.0,616.8
2021-11-01,England,Anxiolytics,1995990.0,57003632,35.02,2021,11,22,33.42,7.9,7.6,0.7,5.3,5.1,0.8,10.4,10.2,0.7,53.5,52.0,35.0,3765.1,3695.0,616.8
2021-11-01,Spain,Antidepressants,4282770.0,47445306,90.27,2021,11,21,90.27,11.7,11.7,2.4,7.1,7.6,2.5,16.4,15.6,2.8,88.4,55.5,113.1,10117.5,11190.0,3364.3
2021-11-01,Spain,Anxiolytics,4991600.0,47445306,105.21,2021,11,21,105.21,11.7,11.7,2.4,7.1,7.6,2.5,16.4,15.6,2.8,88.4,55.5,113.1,10117.5,11190.0,3364.3
