YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,BNF_CHEMICAL_SUBSTANCE,CHEMICAL_SUBSTANCE_BNF_DESCR,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST
202101,EAST OF ENGLAND,Y61,0401010AC,Sodium oxybate,9720.0,23.0,11340.0,0.0,22680.0,21169.6695
202101,EAST OF ENGLAND,Y61,0401010AD,Melatonin,432989.0,13612.0,848532.0,0.0,507959.54,473801.90184
202101,EAST OF ENGLAND,Y61,0401010B0,Chloral hydrate,22494.0,105.0,27044.0,2341.7,10411.3,9711.62549
202101,EAST OF ENGLAND,Y61,0401010C0,Cloral betaine,63.0,5.0,84.0,0.0,388.06,361.74905
202101,EAST OF ENGLAND,Y61,0401010D0,Clomethiazole edisilate,300.0,1.0,300.0,0.0,30.0,27.93492
202101,EAST OF ENGLAND,Y61,0401010F0,Clomethiazole,2601.0,63.0,4349.0,0.0,2377.39,2218.10173
202101,EAST OF ENGLAND,Y61,0401010N0,Loprazolam mesilate,4239.0,181.0,5884.0,5884.0,4728.3,4407.81442
202101,EAST OF ENGLAND,Y61,0401010P0,Lormetazepam,4313.0,155.0,5184.0,4530.0,3121.74,2916.02184
202101,EAST OF ENGLAND,Y61,0401010R0,Nitrazepam,47566.0,3976.0,105360.0,102075.0,18196.09,17176.95679
202101,EAST OF ENGLAND,Y61,0401010T0,Temazepam,86512.0,8159.0,216348.0,122273.4,23988.18,22758.63812
202101,EAST OF ENGLAND,Y61,0401010Y0,Zolpidem tartrate,60582.0,7349.0,160194.0,125490.0,10052.28,9761.68257
202101,EAST OF ENGLAND,Y61,0401010Z0,Zopiclone,163323.0,58180.0,1142271.0,868830.0,52853.91,52809.77598
202101,EAST OF ENGLAND,Y61,0401020B0,Buspirone hydrochloride,57065.0,1598.0,85532.0,18690.16665,23042.97,21558.05734
202101,EAST OF ENGLAND,Y61,0401020E0,Chlordiazepoxide hydrochloride,13547.0,330.0,17548.0,4083.83342,2773.18,2613.83301
202101,EAST OF ENGLAND,Y61,0401020K0,Diazepam,446045.0,44941.0,1276005.0,451882.4,83705.99,80967.90209
202101,EAST OF ENGLAND,Y61,0401020P0,Lorazepam,151655.0,12885.0,364694.0,141574.4,74865.49,70438.00879
202101,EAST OF ENGLAND,Y61,0401020T0,Oxazepam,15631.0,450.0,19876.0,7546.49999,4439.46,4153.56333
202101,EAST OF ENGLAND,Y61,0401030E0,Amobarbital sodium,384.0,14.0,1084.0,0.0,1613.51,1503.34885
202101,EAST OF ENGLAND,Y61,0401030H0,Butobarbital,84.0,1.0,84.0,0.0,212.18,197.59904
202101,EAST OF ENGLAND,Y61,0401030T0,Secobarbital sodium,224.0,7.0,392.0,0.0,855.81,797.33239
202101,EAST OF ENGLAND,Y61,040201030,Risperidone,328887.0,15501.0,584912.0,141145.1,58158.59,55542.21268
202101,EAST OF ENGLAND,Y61,040201060,Olanzapine,208204.0,21500.0,506710.0,398818.0,83327.82,78679.43573
202101,EAST OF ENGLAND,Y61,0402010A0,Amisulpride,75406.0,2577.0,103250.0,41052.125,21431.75,20188.46286
202101,EAST OF ENGLAND,Y61,0402010AB,Quetiapine,767339.0,45400.0,1653428.0,484807.417,321569.08,303477.47995
202101,EAST OF ENGLAND,Y61,0402010AD,Aripiprazole,163122.0,12158.0,342352.0,0.0,57397.2,54032.32627
202101,EAST OF ENGLAND,Y61,0402010AE,Paliperidone,357.0,13.0,413.0,0.0,1690.24,1573.55293
202101,EAST OF ENGLAND,Y61,0402010AI,Lurasidone,3824.0,255.0,4846.0,0.0,15701.04,14631.96434
202101,EAST OF ENGLAND,Y61,0402010AJ,Cariprazine,28.0,2.0,56.0,0.0,160.72,149.61502
202101,EAST OF ENGLAND,Y61,0402010B0,Benperidol,2128.0,33.0,2352.0,391.99999,4206.72,3918.41596
202101,EAST OF ENGLAND,Y61,0402010C0,Clozapine,436.0,5.0,436.0,107.66667,170.75,159.18764
202101,EAST OF ENGLAND,Y61,0402010D0,Chlorpromazine hydrochloride,78885.0,1701.0,107190.0,12367.75008,46759.61,43606.0854
202101,EAST OF ENGLAND,Y61,0402010H0,Flupentixol hydrochloride,7261.0,215.0,10039.0,5019.5,1397.66,1322.50303
202101,EAST OF ENGLAND,Y61,0402010I0,Fluphenazine hydrochloride,28.0,1.0,28.0,2.8,96.6,89.9229
202101,EAST OF ENGLAND,Y61,0402010J0,Haloperidol,67185.0,3140.0,94951.0,25361.8125,126842.74,118248.41561
202101,EAST OF ENGLAND,Y61,0402010K0,Levomepromazine maleate,12532.0,365.0,15992.0,1115.42659,4783.44,4486.45593
