date,population,country
2021-01,56489800,England
2021-02,56541183,England
2021-03,56592566,England
2021-04,56643950,England
2021-05,56695333,England
2021-06,56746716,England
2021-07,56798099,England
2021-08,56849482,England
2021-09,56900865,England
2021-10,56952248,England
2021-11,57003632,England
2021-12,57055015,England
2022-01,57106398,England
2022-02,57155056,England
2022-03,57203715,England
2022-04,57252374,England
2022-05,57301032,England
2022-06,57349690,England
2022-07,57398349,England
2022-08,57447008,England
2022-09,57495666,England
2022-10,57544324,England
2022-11,57592983,England
2022-12,57641642,England
2023-01,57690300,England
2023-02,57749217,England
2023-03,57808133,England
2023-04,57867050,England
2023-05,57925967,England
2023-06,57984883,England
2023-07,58043800,England
2023-08,58102717,England
2023-09,58161633,England
2023-10,58220550,England
2023-11,58279467,England
2023-12,58338383,England
2024-01,58397300,England
2024-02,58451692,England
2024-03,58506083,England
2024-04,58560475,England
2024-05,58614867,England
2024-06,58669258,England
2024-07,58723650,England
2024-08,58778042,England
2024-09,58832433,England
2024-10,58886825,England
2024-11,58941217,England
2024-12,58995608,England
2025-01,59050000,England
2025-02,59093393,England
2025-03,59136786,England
2025-04,59180180,England
2025-05,59223573,England
2025-06,59266966,England
2025-07,59310359,England
2025-08,59353753,England
2025-09,59397146,England
2025-10,59440539,England
2025-11,59483932,England
2025-12,59527325,England
2021-01,47400798,Spain
2021-02,47385887,Spain
2021-03,47370976,Spain
2021-04,47356065,Spain
2021-05,47352989,Spain
2021-06,47349912,Spain
2021-07,47346836,Spain
2021-08,47372756,Spain
2021-09,47398675,Spain
2021-10,47424595,Spain
2021-11,47445306,Spain
2021-12,47466016,Spain
2022-01,47486727,Spain
2022-02,47527533,Spain
2022-03,47568339,Spain
2022-04,47609145,Spain
2022-05,47666548,Spain
2022-06,47723951,Spain
2022-07,47781354,Spain
2022-08,47834334,Spain
2022-09,47887315,Spain
2022-10,47940295,Spain
2022-11,47988650,Spain
2022-12,48037006,Spain
2023-01,48085361,Spain
2023-02,48125561,Spain
2023-03,48165762,Spain
2023-04,48205962,Spain
2023-05,48244148,Spain
2023-06,48282334,Spain
2023-07,48320520,Spain
2023-08,48375968,Spain
2023-09,48431417,Spain
2023-10,48486865,Spain
2023-11,48531142,Spain
2023-12,48575418,Spain
2024-01,48619695,Spain
2024-02,48646840,Spain
2024-03,48673985,Spain
2024-04,48701130,Spain
2024-05,48741399,Spain
2024-06,48781667,Spain
2024-07,48821936,Spain
2024-08,48881251,Spain
2024-09,48940565,Spain
2024-10,48999880,Spain
2024-11,49042686,Spain
2024-12,49085491,Spain
2025-01,49128297,Spain
2025-02,49128297,Spain
2025-03,49128297,Spain
2025-04,49128297,Spain
2025-05,49128297,Spain
2025-06,49128297,Spain
2025-07,49128297,Spain
2025-08,49128297,Spain
2025-09,49128297,Spain
2025-10,49128297,Spain
2025-11,49128297,Spain
2025-12,49128297,Spain
