date,country,group,chemical_substance,items
2021-01,England,Anxiolytics,Sodium oxybate,23.0
2021-01,England,Anxiolytics,Melatonin,13612.0
2021-01,England,Anxiolytics,Chloral hydrate,105.0
2021-01,England,Anxiolytics,Cloral betaine,5.0
2021-01,England,Anxiolytics,Clomethiazole edisilate,1.0
2021-01,England,Anxiolytics,Clomethiazole,63.0
2021-01,England,Anxiolytics,Loprazolam mesilate,181.0
2021-01,England,Anxiolytics,Lormetazepam,155.0
2021-01,England,Anxiolytics,Nitrazepam,3976.0
2021-01,England,Anxiolytics,Temazepam,8159.0
2021-01,England,Anxiolytics,Zolpidem tartrate,7349.0
2021-01,England,Anxiolytics,Zopiclone,58180.0
2021-01,England,Anxiolytics,Buspirone hydrochloride,1598.0
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,330.0
2021-01,England,Anxiolytics,Diazepam,44941.0
2021-01,England,Anxiolytics,Lorazepam,12885.0
2021-01,England,Anxiolytics,Oxazepam,450.0
2021-01,England,Anxiolytics,Amobarbital sodium,14.0
2021-01,England,Anxiolytics,Butobarbital,1.0
2021-01,England,Anxiolytics,Secobarbital sodium,7.0
2021-01,England,Antidepressants,Amitriptyline hydrochloride,159088.0
2021-01,England,Antidepressants,Clomipramine hydrochloride,2866.0
2021-01,England,Antidepressants,Dosulepin hydrochloride,5124.0
2021-01,England,Antidepressants,Doxepin,207.0
2021-01,England,Antidepressants,Imipramine hydrochloride,1319.0
2021-01,England,Antidepressants,Lofepramine hydrochloride,1358.0
2021-01,England,Antidepressants,Nortriptyline,7724.0
2021-01,England,Antidepressants,Trazodone hydrochloride,7402.0
2021-01,England,Antidepressants,Trimipramine maleate,226.0
2021-01,England,Antidepressants,Isocarboxazid,18.0
2021-01,England,Antidepressants,Moclobemide,77.0
2021-01,England,Antidepressants,Phenelzine sulfate,59.0
2021-01,England,Antidepressants,Tranylcypromine sulfate,38.0
2021-01,England,Antidepressants,Citalopram hydrobromide,171838.0
2021-01,England,Antidepressants,Fluoxetine hydrochloride,69808.0
2021-01,England,Antidepressants,Fluvoxamine maleate,251.0
2021-01,England,Antidepressants,Paroxetine hydrochloride,13866.0
2021-01,England,Antidepressants,Sertraline hydrochloride,187596.0
2021-01,England,Antidepressants,Escitalopram,13687.0
2021-01,England,Antidepressants,Citalopram hydrochloride,745.0
2021-01,England,Antidepressants,Vortioxetine,2246.0
2021-01,England,Antidepressants,Reboxetine,192.0
2021-01,England,Antidepressants,Venlafaxine,60447.0
2021-01,England,Antidepressants,Mirtazapine,92589.0
2021-01,England,Antidepressants,Duloxetine hydrochloride,25600.0
2021-01,England,Antidepressants,Agomelatine,184.0
2021-01,England,Anxiolytics,Promethazine teoclate,484.0
2021-01,England,Anxiolytics,Clobazam,3055.0
2021-01,England,Anxiolytics,Pregabalin,76365.0
2021-01,England,Anxiolytics,Clonazepam,13208.0
2021-01,England,Anxiolytics,Phenobarbital,1954.0
2021-01,England,Anxiolytics,Phenobarbital sodium,3.0
2021-01,England,Anxiolytics,Paraldehyde,28.0
2021-01,England,Anxiolytics,Midazolam maleate,221.0
2021-01,England,Anxiolytics,Midazolam hydrochloride,666.0
2021-01,England,Antidepressants,Bupropion hydrochloride,178.0
2021-01,England,Anxiolytics,Sodium oxybate,10.0
2021-01,England,Anxiolytics,Melatonin,15244.0
2021-01,England,Anxiolytics,Chloral hydrate,141.0
2021-01,England,Anxiolytics,Cloral betaine,6.0
2021-01,England,Anxiolytics,Clomethiazole,67.0
2021-01,England,Anxiolytics,Loprazolam mesilate,41.0
2021-01,England,Anxiolytics,Lormetazepam,101.0
2021-01,England,Anxiolytics,Nitrazepam,2407.0
2021-01,England,Anxiolytics,Temazepam,6145.0
2021-01,England,Anxiolytics,Zolpidem tartrate,7025.0
2021-01,England,Anxiolytics,Zopiclone,50379.0
2021-01,England,Anxiolytics,Buspirone hydrochloride,828.0
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,233.0
2021-01,England,Anxiolytics,Diazepam,37176.0
2021-01,England,Anxiolytics,Lorazepam,8586.0
2021-01,England,Anxiolytics,Oxazepam,285.0
2021-01,England,Anxiolytics,Amobarbital sodium,4.0
2021-01,England,Anxiolytics,Butobarbital,3.0
2021-01,England,Anxiolytics,Secobarbital sodium,20.0
2021-01,England,Antidepressants,Amitriptyline hydrochloride,104398.0
2021-01,England,Antidepressants,Clomipramine hydrochloride,1774.0
2021-01,England,Antidepressants,Dosulepin hydrochloride,3411.0
2021-01,England,Antidepressants,Doxepin,201.0
2021-01,England,Antidepressants,Imipramine hydrochloride,914.0
2021-01,England,Antidepressants,Lofepramine hydrochloride,1283.0
2021-01,England,Antidepressants,Mianserin hydrochloride,2.0
2021-01,England,Antidepressants,Nortriptyline,6241.0
2021-01,England,Antidepressants,Trazodone hydrochloride,4982.0
2021-01,England,Antidepressants,Trimipramine maleate,308.0
2021-01,England,Antidepressants,Isocarboxazid,21.0
2021-01,England,Antidepressants,Moclobemide,85.0
2021-01,England,Antidepressants,Phenelzine sulfate,38.0
2021-01,England,Antidepressants,Tranylcypromine sulfate,70.0
2021-01,England,Antidepressants,Citalopram hydrobromide,109289.0
2021-01,England,Antidepressants,Fluoxetine hydrochloride,47034.0
2021-01,England,Antidepressants,Fluvoxamine maleate,283.0
2021-01,England,Antidepressants,Paroxetine hydrochloride,11508.0
2021-01,England,Antidepressants,Sertraline hydrochloride,150110.0
2021-01,England,Antidepressants,Escitalopram,13046.0
2021-01,England,Antidepressants,Citalopram hydrochloride,380.0
2021-01,England,Antidepressants,Vortioxetine,1701.0
2021-01,England,Antidepressants,Reboxetine,157.0
2021-01,England,Antidepressants,Venlafaxine,37789.0
2021-01,England,Antidepressants,Mirtazapine,95291.0
2021-01,England,Antidepressants,Duloxetine hydrochloride,19757.0
2021-01,England,Antidepressants,Agomelatine,387.0
2021-01,England,Anxiolytics,Promethazine teoclate,223.0
2021-01,England,Anxiolytics,Clobazam,3736.0
2021-01,England,Anxiolytics,Pregabalin,62093.0
2021-01,England,Anxiolytics,Clonazepam,11913.0
2021-01,England,Anxiolytics,Phenobarbital,1325.0
2021-01,England,Anxiolytics,Phenobarbital sodium,2.0
2021-01,England,Anxiolytics,Paraldehyde,24.0
2021-01,England,Anxiolytics,Midazolam maleate,157.0
2021-01,England,Anxiolytics,Midazolam hydrochloride,963.0
2021-01,England,Antidepressants,Bupropion hydrochloride,646.0
2021-01,England,Anxiolytics,Sodium oxybate,33.0
2021-01,England,Anxiolytics,Melatonin,23225.0
2021-01,England,Anxiolytics,Chloral hydrate,206.0
2021-01,England,Anxiolytics,Cloral betaine,5.0
2021-01,England,Anxiolytics,Clomethiazole edisilate,25.0
2021-01,England,Anxiolytics,Clomethiazole,108.0
2021-01,England,Anxiolytics,Loprazolam mesilate,187.0
2021-01,England,Anxiolytics,Lormetazepam,152.0
2021-01,England,Anxiolytics,Nitrazepam,4885.0
2021-01,England,Anxiolytics,Temazepam,10459.0
2021-01,England,Anxiolytics,Zolpidem tartrate,9039.0
2021-01,England,Anxiolytics,Zopiclone,84711.0
2021-01,England,Anxiolytics,Buspirone hydrochloride,2706.0
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,673.0
