date,country,city,group,substance,items
2021-01,England,Birmingham,antidepressant,Agomelatine,10.0
2021-01,England,Birmingham,antidepressant,Amitriptyline hydrochloride,18253.0
2021-01,England,Birmingham,anxiolytic,Amobarbital sodium,1.0
2021-01,England,Birmingham,antidepressant,Bupropion hydrochloride,12.0
2021-01,England,Birmingham,anxiolytic,Buspirone hydrochloride,214.0
2021-01,England,Birmingham,anxiolytic,Butobarbital,1.0
2021-01,England,Birmingham,anxiolytic,Chloral hydrate,15.0
2021-01,England,Birmingham,anxiolytic,Chlordiazepoxide hydrochloride,43.0
2021-01,England,Birmingham,antidepressant,Citalopram hydrobromide,18025.0
2021-01,England,Birmingham,antidepressant,Citalopram hydrochloride,137.0
2021-01,England,Birmingham,anxiolytic,Clobazam,665.0
2021-01,England,Birmingham,anxiolytic,Clomethiazole,20.0
2021-01,England,Birmingham,anxiolytic,Clomethiazole edisilate,1.0
2021-01,England,Birmingham,antidepressant,Clomipramine hydrochloride,220.0
2021-01,England,Birmingham,anxiolytic,Clonazepam,847.0
2021-01,England,Birmingham,anxiolytic,Diazepam,6601.0
2021-01,England,Birmingham,antidepressant,Dosulepin hydrochloride,528.0
2021-01,England,Birmingham,antidepressant,Doxepin,9.0
2021-01,England,Birmingham,antidepressant,Duloxetine hydrochloride,3897.0
2021-01,England,Birmingham,antidepressant,Escitalopram,1571.0
2021-01,England,Birmingham,antidepressant,Fluoxetine hydrochloride,7773.0
2021-01,England,Birmingham,antidepressant,Flupentixol decanoate,35.0
2021-01,England,Birmingham,antidepressant,Flupentixol hydrochloride,169.0
2021-01,England,Birmingham,antidepressant,Fluvoxamine maleate,46.0
2021-01,England,Birmingham,antidepressant,Imipramine hydrochloride,84.0
2021-01,England,Birmingham,antidepressant,Isocarboxazid,2.0
2021-01,England,Birmingham,antidepressant,Lofepramine hydrochloride,143.0
2021-01,England,Birmingham,anxiolytic,Loprazolam mesilate,15.0
2021-01,England,Birmingham,anxiolytic,Lorazepam,1972.0
2021-01,England,Birmingham,anxiolytic,Lormetazepam,8.0
2021-01,England,Birmingham,anxiolytic,Melatonin,1556.0
2021-01,England,Birmingham,antidepressant,Mianserin hydrochloride,1.0
2021-01,England,Birmingham,anxiolytic,Midazolam hydrochloride,107.0
2021-01,England,Birmingham,anxiolytic,Midazolam maleate,23.0
2021-01,England,Birmingham,antidepressant,Mirtazapine,15534.0
2021-01,England,Birmingham,antidepressant,Moclobemide,9.0
2021-01,England,Birmingham,anxiolytic,Nitrazepam,421.0
2021-01,England,Birmingham,antidepressant,Nortriptyline,394.0
2021-01,England,Birmingham,anxiolytic,Oxazepam,35.0
2021-01,England,Birmingham,antidepressant,Paroxetine hydrochloride,1866.0
2021-01,England,Birmingham,anxiolytic,Phenobarbital,213.0
2021-01,England,Birmingham,anxiolytic,Phenobarbital sodium,1.0
2021-01,England,Birmingham,anxiolytic,Pregabalin,13060.0
2021-01,England,Birmingham,anxiolytic,Promethazine teoclate,25.0
2021-01,England,Birmingham,antidepressant,Reboxetine,15.0
2021-01,England,Birmingham,antidepressant,Sertraline hydrochloride,26287.0
2021-01,England,Birmingham,anxiolytic,Temazepam,911.0
2021-01,England,Birmingham,antidepressant,Tranylcypromine sulfate,3.0
2021-01,England,Birmingham,antidepressant,Trazodone hydrochloride,323.0
2021-01,England,Birmingham,antidepressant,Trimipramine maleate,12.0
2021-01,England,Birmingham,antidepressant,Tryptophan,1.0
2021-01,England,Birmingham,antidepressant,Venlafaxine,6964.0
2021-01,England,Birmingham,antidepressant,Vortioxetine,128.0
2021-01,England,Birmingham,anxiolytic,Zolpidem tartrate,1051.0
