date,country,group,items
2021-01,Spain,Anxiolytics,4802610.0
2021-01,Spain,Antidepressants,3892410.0
2021-02,Spain,Anxiolytics,4619320.0
2021-02,Spain,Antidepressants,3720430.0
2021-03,Spain,Anxiolytics,5296630.0
2021-03,Spain,Antidepressants,4335070.0
2021-04,Spain,Anxiolytics,4896670.0
2021-04,Spain,Antidepressants,4022200.0
2021-05,Spain,Anxiolytics,4917090.0
2021-05,Spain,Antidepressants,4082910.0
2021-06,Spain,Anxiolytics,4952420.0
2021-06,Spain,Antidepressants,4158319.9999999995
2021-07,Spain,Anxiolytics,4955850.0
2021-07,Spain,Antidepressants,4211590.0
2021-08,Spain,Anxiolytics,4795060.0
2021-08,Spain,Antidepressants,4062870.0
2021-09,Spain,Anxiolytics,4906270.0
2021-09,Spain,Antidepressants,4166350.0000000005
2021-10,Spain,Anxiolytics,4909110.0
2021-10,Spain,Antidepressants,4167010.0
2021-11,Spain,Anxiolytics,4991600.0
2021-11,Spain,Antidepressants,4282770.0
2021-12,Spain,Anxiolytics,5026710.0
2021-12,Spain,Antidepressants,4359150.0
2022-01,Spain,Anxiolytics,4886740.0
2022-01,Spain,Antidepressants,4231760.0
2022-02,Spain,Anxiolytics,4594900.0
2022-02,Spain,Antidepressants,3997280.0
2022-03,Spain,Anxiolytics,5351990.0
2022-03,Spain,Antidepressants,4627740.0
2022-04,Spain,Anxiolytics,4851310.0
2022-04,Spain,Antidepressants,4280280.0
2022-05,Spain,Anxiolytics,4983820.0
2022-05,Spain,Antidepressants,4456240.0
2022-06,Spain,Anxiolytics,4863770.0
2022-06,Spain,Antidepressants,4400530.0
2022-07,Spain,Anxiolytics,4732620.0
2022-07,Spain,Antidepressants,4311050.0
2022-08,Spain,Anxiolytics,4857410.0
2022-08,Spain,Antidepressants,4418610.0
2022-09,Spain,Anxiolytics,4873080.0
2022-09,Spain,Antidepressants,4409860.0
2022-10,Spain,Anxiolytics,4859990.0
2022-10,Spain,Antidepressants,4425350.0
2022-11,Spain,Anxiolytics,4876350.0
2022-11,Spain,Antidepressants,4465290.0
2022-12,Spain,Anxiolytics,4936020.0
2022-12,Spain,Antidepressants,4491210.0
2023-01,Spain,Anxiolytics,4908590.0
2023-01,Spain,Antidepressants,4528700.0
2023-02,Spain,Anxiolytics,4511070.0
2023-02,Spain,Antidepressants,4155960.0
2023-03,Spain,Anxiolytics,5133090.0
2023-03,Spain,Antidepressants,4765710.0
2023-04,Spain,Anxiolytics,4601630.0
2023-04,Spain,Antidepressants,4297490.0
2023-05,Spain,Anxiolytics,5064900.0
2023-05,Spain,Antidepressants,4744090.0
2023-06,Spain,Anxiolytics,4845160.0
2023-06,Spain,Antidepressants,4578760.0
2023-07,Spain,Anxiolytics,4748940.0
2023-07,Spain,Antidepressants,4553850.0
2023-08,Spain,Anxiolytics,4746330.0
2023-08,Spain,Antidepressants,4586940.0
2023-09,Spain,Anxiolytics,4704040.0
2023-09,Spain,Antidepressants,4516320.0
2023-10,Spain,Anxiolytics,4878430.0
2023-10,Spain,Antidepressants,4718600.0
2023-11,Spain,Anxiolytics,4750000.0
2023-11,Spain,Antidepressants,4647140.0
2023-12,Spain,Anxiolytics,4577730.0
2023-12,Spain,Antidepressants,4586230.0
2024-01,Spain,Anxiolytics,4925650.0
2024-01,Spain,Antidepressants,4862880.0
2024-02,Spain,Anxiolytics,4579210.0
2024-02,Spain,Antidepressants,4556460.0
2024-03,Spain,Anxiolytics,4522740.0
2024-03,Spain,Antidepressants,4567780.0
2024-04,Spain,Anxiolytics,4916830.0
2024-04,Spain,Antidepressants,5002050.0
2024-05,Spain,Anxiolytics,4757840.0
2024-05,Spain,Antidepressants,4910320.0
2024-06,Spain,Anxiolytics,4413590.0
2024-06,Spain,Antidepressants,4600180.0
2024-07,Spain,Anxiolytics,4776440.0
2024-07,Spain,Antidepressants,5019710.0
2024-08,Spain,Anxiolytics,4467090.0
2024-08,Spain,Antidepressants,4704820.0
2024-09,Spain,Anxiolytics,4430410.0
2024-09,Spain,Antidepressants,4714430.0
2024-10,Spain,Anxiolytics,4745810.0
2024-10,Spain,Antidepressants,5054790.0
2024-11,Spain,Anxiolytics,4506520.0
2024-11,Spain,Antidepressants,4791970.0
2024-12,Spain,Anxiolytics,4545330.0
2024-12,Spain,Antidepressants,4887180.0
2025-01,Spain,Anxiolytics,4706610.0
2025-01,Spain,Antidepressants,5060350.0
2025-02,Spain,Anxiolytics,4226080.0
2025-02,Spain,Antidepressants,4563340.0
2025-03,Spain,Anxiolytics,4589210.0
2025-03,Spain,Antidepressants,5018190.0
2025-04,Spain,Anxiolytics,4490540.0
2025-04,Spain,Antidepressants,4960360.0
2025-05,Spain,Anxiolytics,4568760.0
2025-05,Spain,Antidepressants,5068570.0
2025-06,Spain,Anxiolytics,4325210.0
2025-06,Spain,Antidepressants,4840890.0
2025-07,Spain,Anxiolytics,4564880.0
2025-07,Spain,Antidepressants,5197630.0
2025-08,Spain,Anxiolytics,4179569.9999999995
2025-08,Spain,Antidepressants,4723190.0
2025-09,Spain,Anxiolytics,4434950.0
2025-09,Spain,Antidepressants,5056890.0
2025-10,Spain,Anxiolytics,4564210.0
2025-10,Spain,Antidepressants,5219980.0
2025-11,Spain,Anxiolytics,4157130.0
2025-11,Spain,Antidepressants,4822680.0
2025-12,Spain,Anxiolytics,4449770.0
2025-12,Spain,Antidepressants,5213790.0
