date,country,group,chemical_substance,items_1000,items,actual_cost
2021-01,England,Anxiolytics,Sodium oxybate,0.023,23.0,21169.6695
2021-01,England,Anxiolytics,Melatonin,13.612,13612.0,473801.90184
2021-01,England,Anxiolytics,Chloral hydrate,0.105,105.0,9711.62549
2021-01,England,Anxiolytics,Cloral betaine,0.005,5.0,361.74905
2021-01,England,Anxiolytics,Clomethiazole edisilate,0.001,1.0,27.93492
2021-01,England,Anxiolytics,Clomethiazole,0.063,63.0,2218.10173
2021-01,England,Anxiolytics,Loprazolam mesilate,0.181,181.0,4407.81442
2021-01,England,Anxiolytics,Lormetazepam,0.155,155.0,2916.02184
2021-01,England,Anxiolytics,Nitrazepam,3.976,3976.0,17176.95679
2021-01,England,Anxiolytics,Temazepam,8.159,8159.0,22758.63812
2021-01,England,Anxiolytics,Zolpidem tartrate,7.349,7349.0,9761.68257
2021-01,England,Anxiolytics,Zopiclone,58.18,58180.0,52809.77598
2021-01,England,Anxiolytics,Buspirone hydrochloride,1.598,1598.0,21558.05734
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.33,330.0,2613.83301
2021-01,England,Anxiolytics,Diazepam,44.941,44941.0,80967.90209
2021-01,England,Anxiolytics,Lorazepam,12.885,12885.0,70438.00879
2021-01,England,Anxiolytics,Oxazepam,0.45,450.0,4153.56333
2021-01,England,Anxiolytics,Amobarbital sodium,0.014,14.0,1503.34885
2021-01,England,Anxiolytics,Butobarbital,0.001,1.0,197.59904
2021-01,England,Anxiolytics,Secobarbital sodium,0.007,7.0,797.33239
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.215,215.0,1322.50303
2021-01,England,Antidepressants,Flupentixol decanoate,0.358,358.0,4172.63479
2021-01,England,Antidepressants,Amitriptyline hydrochloride,159.088,159088.0,312997.23096
2021-01,England,Antidepressants,Clomipramine hydrochloride,2.866,2866.0,21065.98602
2021-01,England,Antidepressants,Dosulepin hydrochloride,5.124,5124.0,59931.57947
2021-01,England,Antidepressants,Doxepin,0.207,207.0,37050.30565
2021-01,England,Antidepressants,Imipramine hydrochloride,1.319,1319.0,21916.70396
2021-01,England,Antidepressants,Lofepramine hydrochloride,1.358,1358.0,25927.75267
2021-01,England,Antidepressants,Nortriptyline,7.724,7724.0,33814.59861
2021-01,England,Antidepressants,Trazodone hydrochloride,7.402,7402.0,33043.51773
2021-01,England,Antidepressants,Trimipramine maleate,0.226,226.0,80834.91348
2021-01,England,Antidepressants,Isocarboxazid,0.018,18.0,6883.36569
2021-01,England,Antidepressants,Moclobemide,0.077,77.0,2720.6588
2021-01,England,Antidepressants,Phenelzine sulfate,0.059,59.0,20313.661
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.038,38.0,26692.28082
2021-01,England,Antidepressants,Citalopram hydrobromide,171.838,171838.0,218598.71528
2021-01,England,Antidepressants,Fluoxetine hydrochloride,69.808,69808.0,254939.26475
2021-01,England,Antidepressants,Fluvoxamine maleate,0.251,251.0,4748.26865
2021-01,England,Antidepressants,Paroxetine hydrochloride,13.866,13866.0,46905.97672
2021-01,England,Antidepressants,Sertraline hydrochloride,187.596,187596.0,1322271.6919
2021-01,England,Antidepressants,Escitalopram,13.687,13687.0,28978.79464
2021-01,England,Antidepressants,Citalopram hydrochloride,0.745,745.0,11415.68434
2021-01,England,Antidepressants,Vortioxetine,2.246,2246.0,51020.82404
2021-01,England,Antidepressants,Flupentixol hydrochloride,1.848,1848.0,4863.62532
2021-01,England,Antidepressants,Tryptophan,0.006,6.0,976.32692
2021-01,England,Antidepressants,Reboxetine,0.192,192.0,3088.84965
2021-01,England,Antidepressants,Venlafaxine,60.447,60447.0,349306.29638
2021-01,England,Antidepressants,Mirtazapine,92.589,92589.0,231710.66088
