date,city,population
2021-01,London,8799800
2021-02,London,8805650
2021-03,London,8811500
2021-04,London,8817350
2021-05,London,8823200
2021-06,London,8829050
2021-07,London,8834900
2021-08,London,8840750
2021-09,London,8846600
2021-10,London,8852450
2021-11,London,8858300
2021-12,London,8864150
2022-01,London,8870000
2022-02,London,8876276
2022-03,London,8882552
2022-04,London,8888828
2022-05,London,8895103
2022-06,London,8901379
2022-07,London,8907655
2022-08,London,8913931
2022-09,London,8920207
2022-10,London,8926482
2022-11,London,8932758
2022-12,London,8939034
2023-01,London,8945310
2023-02,London,8951534
2023-03,London,8957758
2023-04,London,8963982
2023-05,London,8970207
2023-06,London,8976431
2023-07,London,8982655
2023-08,London,8988879
2023-09,London,8995103
2023-10,London,9001328
2023-11,London,9007552
2023-12,London,9013776
2024-01,London,9020000
2024-02,London,9026250
2024-03,London,9032500
2024-04,London,9038750
2024-05,London,9045000
2024-06,London,9051250
2024-07,London,9057500
2024-08,London,9063750
2024-09,London,9070000
2024-10,London,9076250
2024-11,London,9082500
2024-12,London,9088750
2025-12,London,9095000
2021-01,Brighton and Hove,276500
2021-02,Brighton and Hove,276625
2021-03,Brighton and Hove,276750
2021-04,Brighton and Hove,276875
2021-05,Brighton and Hove,277000
2021-06,Brighton and Hove,277125
2021-07,Brighton and Hove,277250
2021-08,Brighton and Hove,277375
2021-09,Brighton and Hove,277500
2021-10,Brighton and Hove,277625
2021-11,Brighton and Hove,277750
2021-12,Brighton and Hove,277875
2022-01,Brighton and Hove,278000
2022-02,Brighton and Hove,278261
2022-03,Brighton and Hove,278522
2022-04,Brighton and Hove,278784
2022-05,Brighton and Hove,279045
2022-06,Brighton and Hove,279306
2022-07,Brighton and Hove,279568
2022-08,Brighton and Hove,279829
2022-09,Brighton and Hove,280090
2022-10,Brighton and Hove,280351
2022-11,Brighton and Hove,280612
2022-12,Brighton and Hove,280874
2023-01,Brighton and Hove,281135
2023-02,Brighton and Hove,281363
2023-03,Brighton and Hove,281591
2023-04,Brighton and Hove,281819
2023-05,Brighton and Hove,282047
2023-06,Brighton and Hove,282275
2023-07,Brighton and Hove,282502
2023-08,Brighton and Hove,282730
2023-09,Brighton and Hove,282958
2023-10,Brighton and Hove,283186
2023-11,Brighton and Hove,283414
2023-12,Brighton and Hove,283642
2024-01,Brighton and Hove,283870
2024-02,Brighton and Hove,284098
2024-03,Brighton and Hove,284325
2024-04,Brighton and Hove,284552
2024-05,Brighton and Hove,284780
2024-06,Brighton and Hove,285008
2024-07,Brighton and Hove,285235
2024-08,Brighton and Hove,285462
2024-09,Brighton and Hove,285690
2024-10,Brighton and Hove,285918
2024-11,Brighton and Hove,286145
2024-12,Brighton and Hove,286372
2025-12,Brighton and Hove,286600
2021-01,Canterbury,156600
2021-02,Canterbury,156775
2021-03,Canterbury,156950
2021-04,Canterbury,157125
2021-05,Canterbury,157300
2021-06,Canterbury,157475
2021-07,Canterbury,157650
2021-08,Canterbury,157825
2021-09,Canterbury,158000
2021-10,Canterbury,158175
2021-11,Canterbury,158350
2021-12,Canterbury,158525
2022-01,Canterbury,158700
2022-02,Canterbury,158875
2022-03,Canterbury,159050
2022-04,Canterbury,159225
2022-05,Canterbury,159400
2022-06,Canterbury,159575
2022-07,Canterbury,159750
2022-08,Canterbury,159925
2022-09,Canterbury,160100
2022-10,Canterbury,160275
2022-11,Canterbury,160450
2022-12,Canterbury,160625
2023-01,Canterbury,160800
2023-02,Canterbury,160908
2023-03,Canterbury,161017
2023-04,Canterbury,161125
2023-05,Canterbury,161233
2023-06,Canterbury,161342
2023-07,Canterbury,161450
2023-08,Canterbury,161558
2023-09,Canterbury,161667
2023-10,Canterbury,161775
2023-11,Canterbury,161883
2023-12,Canterbury,161992
2024-01,Canterbury,162100
2024-02,Canterbury,162217
2024-03,Canterbury,162333
2024-04,Canterbury,162450
2024-05,Canterbury,162567
2024-06,Canterbury,162683
2024-07,Canterbury,162800
2024-08,Canterbury,162917
2024-09,Canterbury,163033
2024-10,Canterbury,163150
2024-11,Canterbury,163267
2024-12,Canterbury,163383
2025-12,Canterbury,163500
