date,city,chemical_substance,group ,items,actual_cost
2021-01,Birmingham,Agomelatine,antidepressant,10.0,477.1802
2021-01,Birmingham,Amitriptyline hydrochloride,antidepressant,18253.0,37451.0438
2021-01,Birmingham,Amobarbital sodium,anxiolytic,1.0,216.8842
2021-01,Birmingham,Bupropion hydrochloride,antidepressant,12.0,577.3022
2021-01,Birmingham,Buspirone hydrochloride,anxiolytic,214.0,3823.5488
2021-01,Birmingham,Butobarbital,anxiolytic,1.0,4.0495
2021-01,Birmingham,Chloral hydrate,anxiolytic,15.0,3097.4258
2021-01,Birmingham,Chlordiazepoxide hydrochloride,anxiolytic,43.0,390.9481
2021-01,Birmingham,Citalopram hydrobromide,antidepressant,18025.0,26077.4992
2021-01,Birmingham,Citalopram hydrochloride,antidepressant,137.0,1906.7402
2021-01,Birmingham,Clobazam,anxiolytic,665.0,22246.9053
2021-01,Birmingham,Clomethiazole,anxiolytic,20.0,435.3637
2021-01,Birmingham,Clomethiazole edisilate,anxiolytic,1.0,27.9349
2021-01,Birmingham,Clomipramine hydrochloride,antidepressant,220.0,2263.3499
2021-01,Birmingham,Clonazepam,anxiolytic,847.0,15972.9763
2021-01,Birmingham,Diazepam,anxiolytic,6601.0,20523.354
2021-01,Birmingham,Dosulepin hydrochloride,antidepressant,528.0,8984.5374
2021-01,Birmingham,Doxepin,antidepressant,9.0,1964.9259
2021-01,Birmingham,Duloxetine hydrochloride,antidepressant,3897.0,16599.9193
2021-01,Birmingham,Escitalopram,antidepressant,1571.0,3885.2676
2021-01,Birmingham,Fluoxetine hydrochloride,antidepressant,7773.0,34456.2315
2021-01,Birmingham,Flupentixol decanoate,antidepressant,35.0,1009.9424
2021-01,Birmingham,Flupentixol hydrochloride,antidepressant,169.0,780.8379
2021-01,Birmingham,Fluvoxamine maleate,antidepressant,46.0,1054.5042
2021-01,Birmingham,Imipramine hydrochloride,antidepressant,84.0,1578.5654
2021-01,Birmingham,Isocarboxazid,antidepressant,2.0,651.8201
2021-01,Birmingham,Lofepramine hydrochloride,antidepressant,143.0,3255.9705
2021-01,Birmingham,Loprazolam mesilate,anxiolytic,15.0,418.7884
2021-01,Birmingham,Lorazepam,anxiolytic,1972.0,12497.3096
2021-01,Birmingham,Lormetazepam,anxiolytic,8.0,165.6537
2021-01,Birmingham,Melatonin,anxiolytic,1556.0,111661.286
2021-01,Birmingham,Mianserin hydrochloride,antidepressant,1.0,13.136
2021-01,Birmingham,Midazolam hydrochloride,anxiolytic,107.0,9555.5144
2021-01,Birmingham,Midazolam maleate,anxiolytic,23.0,5117.6352
2021-01,Birmingham,Mirtazapine,antidepressant,15534.0,44376.5102
2021-01,Birmingham,Moclobemide,antidepressant,9.0,406.0744
2021-01,Birmingham,Nitrazepam,anxiolytic,421.0,7249.5533
2021-01,Birmingham,Nortriptyline,antidepressant,394.0,2140.2006
2021-01,Birmingham,Oxazepam,anxiolytic,35.0,442.5541
2021-01,Birmingham,Paroxetine hydrochloride,antidepressant,1866.0,6778.772
2021-01,Birmingham,Phenobarbital,anxiolytic,213.0,18322.5037
2021-01,Birmingham,Phenobarbital sodium,anxiolytic,1.0,651.5377
2021-01,Birmingham,Pregabalin,anxiolytic,13060.0,70611.1875
2021-01,Birmingham,Promethazine teoclate,anxiolytic,25.0,87.707
2021-01,Birmingham,Reboxetine,antidepressant,15.0,208.5687
2021-01,Birmingham,Sertraline hydrochloride,antidepressant,26287.0,213101.5259
2021-01,Birmingham,Temazepam,anxiolytic,911.0,2113.3856
2021-01,Birmingham,Tranylcypromine sulfate,antidepressant,3.0,2395.3702
2021-01,Birmingham,Trazodone hydrochloride,antidepressant,323.0,1453.7384
2021-01,Birmingham,Trimipramine maleate,antidepressant,12.0,3798.2972
2021-01,Birmingham,Tryptophan,antidepressant,1.0,26.1734
2021-01,Birmingham,Venlafaxine,antidepressant,6964.0,46436.6606
2021-01,Birmingham,Vortioxetine,antidepressant,128.0,2956.3821
2021-01,Birmingham,Zolpidem tartrate,anxiolytic,1051.0,1455.8227
2021-01,Birmingham,Zopiclone,anxiolytic,7442.0,6683.2101
