date,country,group,items_1000,items,population,items_per_1k,days_in_month,items_per_1k_per_day,percent_per_day,tavg_mean,tavg_median,tavg_std,tmin_mean,tmin_median,tmin_std,tmax_mean,tmax_median,tmax_std,prcp_mean,prcp_median,prcp_std,tsun_mean,tsun_median,tsun_std
2021-01-01,England,Antidepressants,6694.824,6694824.0,56489800,118.51,31,3.82,0.382,3.5,3.1,1.2,1.2,0.8,1.2,5.6,5.3,1.2,98.1,93.5,33.5,3139.6,3468.0,1011.8
2021-01-01,England,Anxiolytics,1959.228,1959228.0,56489800,34.68,31,1.12,0.11200000000000002,3.5,3.1,1.2,1.2,0.8,1.2,5.6,5.3,1.2,98.1,93.5,33.5,3139.6,3468.0,1011.8
2021-02-01,England,Antidepressants,6321.942,6321942.0,56541183,111.81,28,3.99,0.399,5.2,4.9,0.8,2.6,2.5,0.9,7.7,7.8,0.9,65.2,62.5,22.2,3926.1,3936.0,680.2
2021-02-01,England,Anxiolytics,1855.231,1855231.0,56541183,32.81,28,1.17,0.11699999999999999,5.2,4.9,0.8,2.6,2.5,0.9,7.7,7.8,0.9,65.2,62.5,22.2,3926.1,3936.0,680.2
2021-03-01,England,Antidepressants,7108.419,7108419.0,56592566,125.61,31,4.05,0.40499999999999997,7.2,7.1,0.5,3.9,3.8,0.6,10.5,10.5,0.6,54.0,42.5,33.4,6518.8,6438.0,1451.7
2021-03-01,England,Anxiolytics,2071.846,2071846.0,56592566,36.61,31,1.18,0.118,7.2,7.1,0.5,3.9,3.8,0.6,10.5,10.5,0.6,54.0,42.5,33.4,6518.8,6438.0,1451.7
2021-04-01,England,Antidepressants,6876.404,6876404.0,56643950,121.4,30,4.05,0.40499999999999997,6.5,6.3,0.8,1.8,1.7,1.1,10.9,11.1,1.2,27.9,16.5,24.9,11431.6,12156.0,2811.1
2021-04-01,England,Anxiolytics,1984.972,1984972.0,56643950,35.04,30,1.17,0.11699999999999999,6.5,6.3,0.8,1.8,1.7,1.1,10.9,11.1,1.2,27.9,16.5,24.9,11431.6,12156.0,2811.1
2021-05-01,England,Antidepressants,6577.0470000000005,6577047.0,56695333,116.01,31,3.74,0.374,10.1,10.0,0.6,6.4,6.4,0.8,13.8,13.9,0.7,83.5,88.0,30.3,9842.2,9420.0,1503.5
2021-05-01,England,Anxiolytics,1889.241,1889241.0,56695333,33.32,31,1.07,0.10700000000000001,10.1,10.0,0.6,6.4,6.4,0.8,13.8,13.9,0.7,83.5,88.0,30.3,9842.2,9420.0,1503.5
2021-06-01,England,Antidepressants,6996.286,6996286.0,56746716,123.29,30,4.11,0.41100000000000003,15.5,15.7,0.7,11.4,11.5,0.9,19.6,19.7,1.0,50.4,44.0,28.2,11290.2,10585.0,1268.3
2021-06-01,England,Anxiolytics,2003.9279999999999,2003928.0,56746716,35.31,30,1.18,0.118,15.5,15.7,0.7,11.4,11.5,0.9,19.6,19.7,1.0,50.4,44.0,28.2,11290.2,10585.0,1268.3
2021-07-01,England,Antidepressants,6996.406,6996406.0,56798099,123.18,31,3.97,0.397,17.5,17.6,0.7,13.7,13.8,0.8,21.5,21.7,1.0,74.1,71.5,16.6,10656.3,10610.0,1619.4
2021-07-01,England,Anxiolytics,2016.669,2016669.0,56798099,35.51,31,1.15,0.11499999999999999,17.5,17.6,0.7,13.7,13.8,0.8,21.5,21.7,1.0,74.1,71.5,16.6,10656.3,10610.0,1619.4
2021-08-01,England,Antidepressants,6696.004,6696004.0,56849482,117.78,31,3.8,0.38,15.9,16.0,0.6,12.7,12.8,0.8,19.4,19.4,0.6,43.5,45.0,12.6,8537.0,8654.0,1654.7
2021-08-01,England,Anxiolytics,1928.527,1928527.0,56849482,33.92,31,1.09,0.10900000000000001,15.9,16.0,0.6,12.7,12.8,0.8,19.4,19.4,0.6,43.5,45.0,12.6,8537.0,8654.0,1654.7
2021-09-01,England,Antidepressants,7026.3369999999995,7026337.0,56900865,123.48,30,4.12,0.41200000000000003,15.8,15.8,0.6,12.2,12.1,0.7,19.7,19.8,0.8,64.9,56.0,19.7,8017.1,7768.0,1050.8
2021-09-01,England,Anxiolytics,2014.694,2014694.0,56900865,35.41,30,1.18,0.118,15.8,15.8,0.6,12.2,12.1,0.7,19.7,19.8,0.8,64.9,56.0,19.7,8017.1,7768.0,1050.8
2021-10-01,England,Antidepressants,6743.43,6743430.0,56952248,118.4,31,3.82,0.382,12.2,12.1,0.7,9.3,9.1,0.8,15.0,14.8,0.8,97.8,88.0,34.1,5720.3,5820.0,500.3
2021-10-01,England,Anxiolytics,1930.358,1930358.0,56952248,33.89,31,1.09,0.10900000000000001,12.2,12.1,0.7,9.3,9.1,0.8,15.0,14.8,0.8,97.8,88.0,34.1,5720.3,5820.0,500.3
2021-11-01,England,Antidepressants,7023.108,7023108.0,57003632,123.2,30,4.11,0.41100000000000003,7.9,7.6,0.7,5.3,5.1,0.8,10.4,10.2,0.7,53.5,52.0,35.0,3765.1,3695.0,616.8
2021-11-01,England,Anxiolytics,1995.99,1995990.0,57003632,35.02,30,1.17,0.11699999999999999,7.9,7.6,0.7,5.3,5.1,0.8,10.4,10.2,0.7,53.5,52.0,35.0,3765.1,3695.0,616.8
2021-12-01,England,Antidepressants,7342.693,7342693.0,57055015,128.69,31,4.15,0.41500000000000004,6.6,6.5,1.4,4.5,4.6,1.4,8.6,8.4,1.3,83.0,87.0,16.6,2207.7,2106.0,632.5
2021-12-01,England,Anxiolytics,2091.833,2091833.0,57055015,36.66,31,1.18,0.118,6.6,6.5,1.4,4.5,4.6,1.4,8.6,8.4,1.3,83.0,87.0,16.6,2207.7,2106.0,632.5
2022-01-01,England,Antidepressants,6985.912,6985912.0,57106398,122.33,31,3.95,0.395,5.1,4.7,0.9,2.2,2.0,1.1,7.9,7.6,0.9,42.6,32.0,27.3,4446.4,4042.0,1072.6
2022-01-01,England,Anxiolytics,1977.247,1977247.0,57106398,34.62,31,1.12,0.11200000000000002,5.1,4.7,0.9,2.2,2.0,1.1,7.9,7.6,0.9,42.6,32.0,27.3,4446.4,4042.0,1072.6
