date,population,country
2021-01,56489800,England
2021-02,56541183,England
2021-03,56592566,England
2021-04,56643950,England
2021-05,56695333,England
2021-06,56746716,England
2021-07,56798099,England
2021-08,56849482,England
2021-09,56900865,England
2021-10,56952248,England
2021-11,57003632,England
2021-12,57055015,England
2022-01,57106398,England
2022-02,57155056,England
2022-03,57203715,England
2022-04,57252374,England
2022-05,57301032,England
2022-06,57349690,England
2022-07,57398349,England
2022-08,57447008,England
2022-09,57495666,England
2022-10,57544324,England
2022-11,57592983,England
2022-12,57641642,England
2023-01,57690300,England
2023-02,57749217,England
2023-03,57808133,England
2023-04,57867050,England
2023-05,57925967,England
2023-06,57984883,England
2023-07,58043800,England
2023-08,58102717,England
2023-09,58161633,England
2023-10,58220550,England
2023-11,58279467,England
2023-12,58338383,England
2024-01,58397300,England
2024-02,58451692,England
2024-03,58506083,England
2024-04,58560475,England
2024-05,58614867,England
2024-06,58669258,England
2024-07,58723650,England
2024-08,58778042,England
2024-09,58832433,England
2024-10,58886825,England
2024-11,58941217,England
2024-12,58995608,England
2025-01,59050000,England
2025-02,59104833,England
2025-03,59159666,England
2025-04,59214499,England
2025-05,59269331,England
2025-06,59324164,England
2025-07,59378997,England
2025-08,59433830,England
2025-09,59488663,England
2025-10,59543496,England
2025-11,59598328,England
2025-12,59653161,England
2021-01,47753936,Spain
2021-02,47760140,Spain
2021-03,47766344,Spain
2021-04,47772548,Spain
2021-05,47778751,Spain
2021-06,47784955,Spain
2021-07,47791159,Spain
2021-08,47797363,Spain
2021-09,47803567,Spain
2021-10,47809770,Spain
2021-11,47815974,Spain
2021-12,47822178,Spain
2022-01,47828382,Spain
2022-02,47835315,Spain
2022-03,47842248,Spain
2022-04,47849181,Spain
2022-05,47856114,Spain
2022-06,47863047,Spain
2022-07,47869980,Spain
2022-08,47876914,Spain
2022-09,47883847,Spain
2022-10,47890780,Spain
2022-11,47897713,Spain
2022-12,47904646,Spain
2023-01,47911579,Spain
2023-02,47911491,Spain
2023-03,47911404,Spain
2023-04,47911316,Spain
2023-05,47911228,Spain
2023-06,47911140,Spain
2023-07,47911052,Spain
2023-08,47910965,Spain
2023-09,47910877,Spain
2023-10,47910789,Spain
2023-11,47910702,Spain
2023-12,47910614,Spain
2024-01,47910526,Spain
2024-02,47908812,Spain
2024-03,47907098,Spain
2024-04,47905384,Spain
2024-05,47903670,Spain
2024-06,47901956,Spain
2024-07,47900242,Spain
2024-08,47898528,Spain
2024-09,47896814,Spain
2024-10,47895100,Spain
2024-11,47893386,Spain
2024-12,47891672,Spain
2025-01,47889958,Spain
2025-02,47892799,Spain
2025-03,47895639,Spain
2025-04,47898480,Spain
2025-05,47901321,Spain
2025-06,47904161,Spain
2025-07,47907002,Spain
2025-08,47909842,Spain
2025-09,47912683,Spain
2025-10,47915524,Spain
2025-11,47918364,Spain
2025-12,47921205,Spain
