date,country,group,items_1000,items
2021-01,Spain,Anxiolytics,4802.61,4802610.0
2021-01,Spain,Antidepressants,3892.41,3892410.0
2021-02,Spain,Anxiolytics,4619.32,4619320.0
2021-02,Spain,Antidepressants,3720.43,3720430.0
2021-03,Spain,Anxiolytics,5296.63,5296630.0
2021-03,Spain,Antidepressants,4335.07,4335070.0
2021-04,Spain,Anxiolytics,4896.67,4896670.0
2021-04,Spain,Antidepressants,4022.2,4022200.0
2021-05,Spain,Anxiolytics,4917.09,4917090.0
2021-05,Spain,Antidepressants,4082.91,4082910.0
2021-06,Spain,Anxiolytics,4952.42,4952420.0
2021-06,Spain,Antidepressants,4158.32,4158319.9999999995
2021-07,Spain,Anxiolytics,4955.85,4955850.0
2021-07,Spain,Antidepressants,4211.59,4211590.0
2021-08,Spain,Anxiolytics,4795.06,4795060.0
2021-08,Spain,Antidepressants,4062.87,4062870.0
2021-09,Spain,Anxiolytics,4906.27,4906270.0
2021-09,Spain,Antidepressants,4166.35,4166350.0000000005
2021-10,Spain,Anxiolytics,4909.11,4909110.0
2021-10,Spain,Antidepressants,4167.01,4167010.0
2021-11,Spain,Anxiolytics,4991.6,4991600.0
2021-11,Spain,Antidepressants,4282.77,4282770.0
2021-12,Spain,Anxiolytics,5026.71,5026710.0
2021-12,Spain,Antidepressants,4359.15,4359150.0
2022-01,Spain,Anxiolytics,4886.74,4886740.0
2022-01,Spain,Antidepressants,4231.76,4231760.0
2022-02,Spain,Anxiolytics,4594.9,4594900.0
2022-02,Spain,Antidepressants,3997.28,3997280.0
2022-03,Spain,Anxiolytics,5351.99,5351990.0
2022-03,Spain,Antidepressants,4627.74,4627740.0
2022-04,Spain,Anxiolytics,4851.31,4851310.0
2022-04,Spain,Antidepressants,4280.28,4280280.0
2022-05,Spain,Anxiolytics,4983.82,4983820.0
2022-05,Spain,Antidepressants,4456.24,4456240.0
2022-06,Spain,Anxiolytics,4863.77,4863770.0
2022-06,Spain,Antidepressants,4400.53,4400530.0
2022-07,Spain,Anxiolytics,4732.62,4732620.0
2022-07,Spain,Antidepressants,4311.05,4311050.0
2022-08,Spain,Anxiolytics,4857.41,4857410.0
2022-08,Spain,Antidepressants,4418.61,4418610.0
2022-09,Spain,Anxiolytics,4873.08,4873080.0
2022-09,Spain,Antidepressants,4409.86,4409860.0
2022-10,Spain,Anxiolytics,4859.99,4859990.0
2022-10,Spain,Antidepressants,4425.35,4425350.0
2022-11,Spain,Anxiolytics,4876.35,4876350.0
2022-11,Spain,Antidepressants,4465.29,4465290.0
2022-12,Spain,Anxiolytics,4936.02,4936020.0
2022-12,Spain,Antidepressants,4491.21,4491210.0
2023-01,Spain,Anxiolytics,4908.59,4908590.0
2023-01,Spain,Antidepressants,4528.7,4528700.0
2023-02,Spain,Anxiolytics,4511.07,4511070.0
2023-02,Spain,Antidepressants,4155.96,4155960.0
2023-03,Spain,Anxiolytics,5133.09,5133090.0
2023-03,Spain,Antidepressants,4765.71,4765710.0
2023-04,Spain,Anxiolytics,4601.63,4601630.0
2023-04,Spain,Antidepressants,4297.49,4297490.0
2023-05,Spain,Anxiolytics,5064.9,5064900.0
2023-05,Spain,Antidepressants,4744.09,4744090.0
2023-06,Spain,Anxiolytics,4845.16,4845160.0
2023-06,Spain,Antidepressants,4578.76,4578760.0
2023-07,Spain,Anxiolytics,4748.94,4748940.0
2023-07,Spain,Antidepressants,4553.85,4553850.0
2023-08,Spain,Anxiolytics,4746.33,4746330.0
2023-08,Spain,Antidepressants,4586.94,4586940.0
2023-09,Spain,Anxiolytics,4704.04,4704040.0
2023-09,Spain,Antidepressants,4516.32,4516320.0
2023-10,Spain,Anxiolytics,4878.43,4878430.0
2023-10,Spain,Antidepressants,4718.6,4718600.0
2023-11,Spain,Anxiolytics,4750.0,4750000.0
2023-11,Spain,Antidepressants,4647.14,4647140.0
2023-12,Spain,Anxiolytics,4577.73,4577730.0
2023-12,Spain,Antidepressants,4586.23,4586230.0
2024-01,Spain,Anxiolytics,4925.65,4925650.0
2024-01,Spain,Antidepressants,4862.88,4862880.0
2024-02,Spain,Anxiolytics,4579.21,4579210.0
2024-02,Spain,Antidepressants,4556.46,4556460.0
2024-03,Spain,Anxiolytics,4522.74,4522740.0
2024-03,Spain,Antidepressants,4567.78,4567780.0
2024-04,Spain,Anxiolytics,4916.83,4916830.0
2024-04,Spain,Antidepressants,5002.05,5002050.0
2024-05,Spain,Anxiolytics,4757.84,4757840.0
2024-05,Spain,Antidepressants,4910.32,4910320.0
2024-06,Spain,Anxiolytics,4413.59,4413590.0
2024-06,Spain,Antidepressants,4600.18,4600180.0
2024-07,Spain,Anxiolytics,4776.44,4776440.0
2024-07,Spain,Antidepressants,5019.71,5019710.0
2024-08,Spain,Anxiolytics,4467.09,4467090.0
2024-08,Spain,Antidepressants,4704.82,4704820.0
2024-09,Spain,Anxiolytics,4430.41,4430410.0
2024-09,Spain,Antidepressants,4714.43,4714430.0
2024-10,Spain,Anxiolytics,4745.81,4745810.0
2024-10,Spain,Antidepressants,5054.79,5054790.0
2024-11,Spain,Anxiolytics,4506.52,4506520.0
2024-11,Spain,Antidepressants,4791.97,4791970.0
2024-12,Spain,Anxiolytics,4545.33,4545330.0
