date,city,population
2021-01,Bilbao,346405
2021-02,Bilbao,346215
2021-03,Bilbao,346025
2021-04,Bilbao,345836
2021-05,Bilbao,345646
2021-06,Bilbao,345456
2021-07,Bilbao,345266
2021-08,Bilbao,345076
2021-09,Bilbao,344886
2021-10,Bilbao,344696
2021-11,Bilbao,344507
2021-12,Bilbao,344317
2022-01,Bilbao,344127
2022-02,Bilbao,344291
2022-03,Bilbao,344455
2022-04,Bilbao,344619
2022-05,Bilbao,344783
2022-06,Bilbao,344947
2022-07,Bilbao,345112
2022-08,Bilbao,345276
2022-09,Bilbao,345440
2022-10,Bilbao,345604
2022-11,Bilbao,345768
2022-12,Bilbao,345932
2023-01,Bilbao,346096
2023-02,Bilbao,346262
2023-03,Bilbao,346428
2023-04,Bilbao,346594
2023-05,Bilbao,346760
2023-06,Bilbao,346926
2023-07,Bilbao,347092
2023-08,Bilbao,347259
2023-09,Bilbao,347425
2023-10,Bilbao,347591
2023-11,Bilbao,347757
2023-12,Bilbao,347923
2024-01,Bilbao,348089
2024-02,Bilbao,348342
2024-03,Bilbao,348595
2024-04,Bilbao,348848
2024-05,Bilbao,349101
2024-06,Bilbao,349354
2024-07,Bilbao,349606
2024-08,Bilbao,349859
2024-09,Bilbao,350112
2024-10,Bilbao,350365
2024-11,Bilbao,350618
2024-12,Bilbao,350871
2025-01,Bilbao,351124
2025-02,Bilbao,351224
2025-03,Bilbao,351323
2025-04,Bilbao,351423
2025-05,Bilbao,351523
2025-06,Bilbao,351622
2025-07,Bilbao,351722
2025-08,Bilbao,351822
2025-09,Bilbao,351921
2025-10,Bilbao,352021
2025-11,Bilbao,352121
2025-12,Bilbao,352220
2021-01,Santiago de Compostela,97858
2021-02,Santiago de Compostela,97885
2021-03,Santiago de Compostela,97912
2021-04,Santiago de Compostela,97938
2021-05,Santiago de Compostela,97965
2021-06,Santiago de Compostela,97992
2021-07,Santiago de Compostela,98018
2021-08,Santiago de Compostela,98045
2021-09,Santiago de Compostela,98072
2021-10,Santiago de Compostela,98099
2021-11,Santiago de Compostela,98126
2021-12,Santiago de Compostela,98152
2022-01,Santiago de Compostela,98179
2022-02,Santiago de Compostela,98221
2022-03,Santiago de Compostela,98264
2022-04,Santiago de Compostela,98306
2022-05,Santiago de Compostela,98348
2022-06,Santiago de Compostela,98391
2022-07,Santiago de Compostela,98433
2022-08,Santiago de Compostela,98475
2022-09,Santiago de Compostela,98518
2022-10,Santiago de Compostela,98560
2022-11,Santiago de Compostela,98602
2022-12,Santiago de Compostela,98645
2023-01,Santiago de Compostela,98687
2023-02,Santiago de Compostela,98758
2023-03,Santiago de Compostela,98828
2023-04,Santiago de Compostela,98899
2023-05,Santiago de Compostela,98970
2023-06,Santiago de Compostela,99041
2023-07,Santiago de Compostela,99112
2023-08,Santiago de Compostela,99182
2023-09,Santiago de Compostela,99253
2023-10,Santiago de Compostela,99324
2023-11,Santiago de Compostela,99394
2023-12,Santiago de Compostela,99465
2024-01,Santiago de Compostela,99536
2024-02,Santiago de Compostela,99655
2024-03,Santiago de Compostela,99774
2024-04,Santiago de Compostela,99893
2024-05,Santiago de Compostela,100012
2024-06,Santiago de Compostela,100131
2024-07,Santiago de Compostela,100250
2024-08,Santiago de Compostela,100370
2024-09,Santiago de Compostela,100489
2024-10,Santiago de Compostela,100608
2024-11,Santiago de Compostela,100727
2024-12,Santiago de Compostela,100846
2025-01,Santiago de Compostela,100965
2025-02,Santiago de Compostela,101031
2025-03,Santiago de Compostela,101097
2025-04,Santiago de Compostela,101163
2025-05,Santiago de Compostela,101229
2025-06,Santiago de Compostela,101295
2025-07,Santiago de Compostela,101361
2025-08,Santiago de Compostela,101428
2025-09,Santiago de Compostela,101494
2025-10,Santiago de Compostela,101560
2025-11,Santiago de Compostela,101626
2025-12,Santiago de Compostela,101692
2021-01,Barcelona,1636732
2021-02,Barcelona,1636687
2021-03,Barcelona,1636642
2021-04,Barcelona,1636597
2021-05,Barcelona,1636552
2021-06,Barcelona,1636507
2021-07,Barcelona,1636462
2021-08,Barcelona,1636418
2021-09,Barcelona,1636373
2021-10,Barcelona,1636328
2021-11,Barcelona,1636283
2021-12,Barcelona,1636238
2022-01,Barcelona,1636193
2022-02,Barcelona,1638187
2022-03,Barcelona,1640181
2022-04,Barcelona,1642175
2022-05,Barcelona,1644169
2022-06,Barcelona,1646163
2022-07,Barcelona,1648158
2022-08,Barcelona,1650152
2022-09,Barcelona,1652146
2022-10,Barcelona,1654140
2022-11,Barcelona,1656134
2022-12,Barcelona,1658128
2023-01,Barcelona,1660122
2023-02,Barcelona,1663657
2023-03,Barcelona,1667193
2023-04,Barcelona,1670728
2023-05,Barcelona,1674264
2023-06,Barcelona,1677799
2023-07,Barcelona,1681334
2023-08,Barcelona,1684870
2023-09,Barcelona,1688405
2023-10,Barcelona,1691941
2023-11,Barcelona,1695476
2023-12,Barcelona,1699012
2024-01,Barcelona,1702547
2024-02,Barcelona,1704972
2024-03,Barcelona,1707397
2024-04,Barcelona,1709822
2024-05,Barcelona,1712248
2024-06,Barcelona,1714673
2024-07,Barcelona,1717098
2024-08,Barcelona,1719523
2024-09,Barcelona,1721948
2024-10,Barcelona,1724374
2024-11,Barcelona,1726799
2024-12,Barcelona,1729224
2025-01,Barcelona,1731649
2025-02,Barcelona,1733703
2025-03,Barcelona,1735758
2025-04,Barcelona,1737812
2025-05,Barcelona,1739866
2025-06,Barcelona,1741921
2025-07,Barcelona,1743975
2025-08,Barcelona,1746029
2025-09,Barcelona,1748084
2025-10,Barcelona,1750138
2025-11,Barcelona,1752192
2025-12,Barcelona,1754246
2021-01,Zaragoza,675301
2021-02,Zaragoza,624634
2021-03,Zaragoza,573968
2021-04,Zaragoza,523301
2021-05,Zaragoza,472634
2021-06,Zaragoza,421968
2021-07,Zaragoza,371301
2021-08,Zaragoza,320634
2021-09,Zaragoza,269968
2021-10,Zaragoza,219301
2021-11,Zaragoza,168634
2021-12,Zaragoza,117968
2022-01,Zaragoza,67301
2022-02,Zaragoza,118569
2022-03,Zaragoza,169836
2022-04,Zaragoza,221104
2022-05,Zaragoza,272372
2022-06,Zaragoza,323639
2022-07,Zaragoza,374907
2022-08,Zaragoza,426175
2022-09,Zaragoza,477442
2022-10,Zaragoza,528710
2022-11,Zaragoza,579978
2022-12,Zaragoza,631245
2023-01,Zaragoza,682513
2023-02,Zaragoza,682886
2023-03,Zaragoza,683258
2023-04,Zaragoza,683631
2023-05,Zaragoza,684004
2023-06,Zaragoza,684377
2023-07,Zaragoza,684750
2023-08,Zaragoza,685122
2023-09,Zaragoza,685495
2023-10,Zaragoza,685868
2023-11,Zaragoza,686240
2023-12,Zaragoza,686613
2024-01,Zaragoza,686986
2024-02,Zaragoza,687495
2024-03,Zaragoza,688004
2024-04,Zaragoza,688512
2024-05,Zaragoza,689021
2024-06,Zaragoza,689530
2024-07,Zaragoza,690038
2024-08,Zaragoza,690547
2024-09,Zaragoza,691056
2024-10,Zaragoza,691565
2024-11,Zaragoza,692074
2024-12,Zaragoza,692582
2025-01,Zaragoza,693091
2025-02,Zaragoza,812307
2025-03,Zaragoza,931523
2025-04,Zaragoza,1050739
2025-05,Zaragoza,1169955
2025-06,Zaragoza,1289171
2025-07,Zaragoza,1408387
2025-08,Zaragoza,1527603
2025-09,Zaragoza,1646819
2025-10,Zaragoza,1766035
2025-11,Zaragoza,1885251
2025-12,Zaragoza,2004467
2021-01,Seville,684234
2021-02,Seville,684048
2021-03,Seville,683861
2021-04,Seville,683675
2021-05,Seville,683489
2021-06,Seville,683302
2021-07,Seville,683116
2021-08,Seville,682930
2021-09,Seville,682743
2021-10,Seville,682557
2021-11,Seville,682371
2021-12,Seville,682184
2022-01,Seville,681998
2022-02,Seville,682167
2022-03,Seville,682336
2022-04,Seville,682505
2022-05,Seville,682674
2022-06,Seville,682843
2022-07,Seville,683012
2022-08,Seville,683180
2022-09,Seville,683349
2022-10,Seville,683518
2022-11,Seville,683687
2022-12,Seville,683856
2023-01,Seville,684025
2023-02,Seville,684314
2023-03,Seville,684602
2023-04,Seville,684891
2023-05,Seville,685179
2023-06,Seville,685468
2023-07,Seville,685756
2023-08,Seville,686045
2023-09,Seville,686334
2023-10,Seville,686622
2023-11,Seville,686911
2023-12,Seville,687199
2024-01,Seville,687488
2024-02,Seville,687649
2024-03,Seville,687810
2024-04,Seville,687972
2024-05,Seville,688133
2024-06,Seville,688294
2024-07,Seville,688456
2024-08,Seville,688617
2024-09,Seville,688778
2024-10,Seville,688939
2024-11,Seville,689100
2024-12,Seville,689262
2025-01,Seville,689423
2025-02,Seville,689532
2025-03,Seville,689641
2025-04,Seville,689750
2025-05,Seville,689859
2025-06,Seville,689967
2025-07,Seville,690076
2025-08,Seville,690185
2025-09,Seville,690294
2025-10,Seville,690403
2025-11,Seville,690512
2025-12,Seville,690621
2021-01,Malaga,1695651
2021-02,Malaga,1697472
2021-03,Malaga,1699293
2021-04,Malaga,1701114
2021-05,Malaga,1702935
2021-06,Malaga,1704756
2021-07,Malaga,1706578
2021-08,Malaga,1708399
2021-09,Malaga,1710220
2021-10,Malaga,1712041
2021-11,Malaga,1713862
2021-12,Malaga,1715683
2022-01,Malaga,1717504
2022-02,Malaga,1720345
2022-03,Malaga,1723187
2022-04,Malaga,1726028
2022-05,Malaga,1728869
2022-06,Malaga,1731711
2022-07,Malaga,1734552
2022-08,Malaga,1737393
2022-09,Malaga,1740235
2022-10,Malaga,1743076
2022-11,Malaga,1745917
2022-12,Malaga,1748759
2023-01,Malaga,1751600
2023-02,Malaga,1753395
2023-03,Malaga,1755189
2023-04,Malaga,1756984
2023-05,Malaga,1758779
2023-06,Malaga,1760573
2023-07,Malaga,1762368
2023-08,Malaga,1764163
2023-09,Malaga,1765957
2023-10,Malaga,1767752
2023-11,Malaga,1769547
2023-12,Malaga,1771341
2024-01,Malaga,1773136
2024-02,Malaga,1774632
2024-03,Malaga,1776129
2024-04,Malaga,1777625
2024-05,Malaga,1779121
2024-06,Malaga,1780618
2024-07,Malaga,1782114
2024-08,Malaga,1783610
2024-09,Malaga,1785107
2024-10,Malaga,1786603
2024-11,Malaga,1788099
2024-12,Malaga,1789596
2025-01,Malaga,1791092
2025-02,Malaga,1793150
2025-03,Malaga,1795209
2025-04,Malaga,1797267
2025-05,Malaga,1799325
2025-06,Malaga,1801384
2025-07,Malaga,1803442
2025-08,Malaga,1805500
2025-09,Malaga,1807559
2025-10,Malaga,1809617
2025-11,Malaga,1811675
2025-12,Malaga,1813734
2021-01,Madrid,3305408
2021-02,Madrid,3303356
2021-03,Madrid,3301304
2021-04,Madrid,3299252
2021-05,Madrid,3297199
2021-06,Madrid,3295147
2021-07,Madrid,3293095
2021-08,Madrid,3291043
2021-09,Madrid,3288991
2021-10,Madrid,3286938
2021-11,Madrid,3284886
2021-12,Madrid,3282834
2022-01,Madrid,3280782
2022-02,Madrid,3285053
2022-03,Madrid,3289324
2022-04,Madrid,3293595
2022-05,Madrid,3297866
2022-06,Madrid,3302137
2022-07,Madrid,3306408
2022-08,Madrid,3310680
2022-09,Madrid,3314951
2022-10,Madrid,3319222
2022-11,Madrid,3323493
2022-12,Madrid,3327764
2023-01,Madrid,3332035
2023-02,Madrid,3339096
2023-03,Madrid,3346158
2023-04,Madrid,3353219
2023-05,Madrid,3360280
2023-06,Madrid,3367342
2023-07,Madrid,3374403
2023-08,Madrid,3381464
2023-09,Madrid,3388526
2023-10,Madrid,3395587
2023-11,Madrid,3402648
2023-12,Madrid,3409710
2024-01,Madrid,3416771
2024-02,Madrid,3424268
2024-03,Madrid,3431764
2024-04,Madrid,3439261
2024-05,Madrid,3446757
2024-06,Madrid,3454254
2024-07,Madrid,3461750
2024-08,Madrid,3469247
2024-09,Madrid,3476744
2024-10,Madrid,3484240
2024-11,Madrid,3491737
2024-12,Madrid,3499233
2025-01,Madrid,3506730
2025-02,Madrid,3511108
2025-03,Madrid,3515487
2025-04,Madrid,3519865
2025-05,Madrid,3524244
2025-06,Madrid,3528622
2025-07,Madrid,3533000
2025-08,Madrid,3537379
2025-09,Madrid,3541757
2025-10,Madrid,3546136
2025-11,Madrid,3550514
2025-12,Madrid,3554892
2021-01,Valencia,789744
2021-02,Valencia,789973
2021-03,Valencia,790202
2021-04,Valencia,790431
2021-05,Valencia,790660
2021-06,Valencia,790889
2021-07,Valencia,791118
2021-08,Valencia,791347
2021-09,Valencia,791576
2021-10,Valencia,791805
2021-11,Valencia,792034
2021-12,Valencia,792263
2022-01,Valencia,792492
2022-02,Valencia,793759
2022-03,Valencia,795026
2022-04,Valencia,796292
2022-05,Valencia,797559
2022-06,Valencia,798826
2022-07,Valencia,800092
2022-08,Valencia,801359
2022-09,Valencia,802626
2022-10,Valencia,803893
2022-11,Valencia,805160
2022-12,Valencia,806426
2023-01,Valencia,807693
2023-02,Valencia,809214
2023-03,Valencia,810736
2023-04,Valencia,812257
2023-05,Valencia,813778
2023-06,Valencia,815299
2023-07,Valencia,816820
2023-08,Valencia,818342
2023-09,Valencia,819863
2023-10,Valencia,821384
2023-11,Valencia,822906
2023-12,Valencia,824427
2024-01,Valencia,825948
2024-02,Valencia,827185
2024-03,Valencia,828422
2024-04,Valencia,829659
2024-05,Valencia,830896
2024-06,Valencia,832133
2024-07,Valencia,833370
2024-08,Valencia,834607
2024-09,Valencia,835844
2024-10,Valencia,837081
2024-11,Valencia,838318
2024-12,Valencia,839555
2025-01,Valencia,840792
2025-02,Valencia,841900
2025-03,Valencia,843007
2025-04,Valencia,844115
2025-05,Valencia,845223
2025-06,Valencia,846330
2025-07,Valencia,847438
2025-08,Valencia,848546
2025-09,Valencia,849653
2025-10,Valencia,850761
2025-11,Valencia,851868
2025-12,Valencia,852976
