city,year,value,ci_lower,ci_upper
Birmingham,2021,27.7162,25.8628,29.5831
Birmingham,2022,25.9133,24.0869,27.7855
Birmingham,2023,29.263,27.0289,31.6369
Birmingham,2024,27.8753,25.5782,30.1361
Birmingham,2025,28.5963,26.3102,30.8934
Brighton,2021,19.12,15.5963,22.9358
Brighton,2022,15.104,11.833,18.5615
Brighton,2023,20.1189,17.1386,23.2489
Brighton,2024,18.6112,15.5483,21.7676
Brighton,2025,18.2539,15.4701,21.1699
Bristol,2021,24.8203,22.757,26.8568
Bristol,2022,22.3438,20.3758,24.31
Bristol,2023,20.3334,17.7515,23.0769
Bristol,2024,19.1825,16.6474,21.8497
Bristol,2025,19.2712,16.5088,22.2043
Canterbury,2021,29.5382,25.1196,33.9713
Canterbury,2022,21.4548,17.6611,25.2983
Canterbury,2023,21.6193,17.3704,26.2195
Canterbury,2024,27.1566,22.4242,31.8258
Canterbury,2025,25.1839,20.4919,29.9741
Exeter,2021,20.2442,16.4706,24.2353
Exeter,2022,21.1312,17.2986,25.1185
Exeter,2023,22.8903,18.5841,27.4336
Exeter,2024,21.659,18.3333,25
Exeter,2025,22.434,18.7554,26.2031
Leeds,2021,27.2657,25.0936,29.4632
Leeds,2022,26.2208,24.1546,28.3816
Leeds,2023,27.2348,24.7142,29.9032
Leeds,2024,26.5506,24.0214,29.1815
Leeds,2025,27.8642,25.1693,30.7013
London,2021,19.7422,19.0576,20.4339
London,2022,20.8897,20.2003,21.5732
London,2023,20.2486,19.6335,20.8454
London,2024,20.4161,19.8266,20.9938
London,2025,20.8731,20.2995,21.4321
Manchester,2021,25.355,23.2573,27.5032
Manchester,2022,27.2806,25.1302,29.5573
Manchester,2023,23.5142,20.6522,26.4493
Manchester,2024,26.9629,24.4598,29.5592
Manchester,2025,25.7724,22.9796,28.668
Middlesbrough,2021,35.2935,30.5913,40.1028
Middlesbrough,2022,34.6797,30.0532,39.3617
Middlesbrough,2023,35.2954,31.8246,38.8967
Middlesbrough,2024,34.2356,30.7365,37.8187
Middlesbrough,2025,35.6616,32.4357,38.9748
Newcastle upon Tyne,2021,24.6613,22.5632,26.7148
Newcastle upon Tyne,2022,29.8642,27.6634,32.0823
Newcastle upon Tyne,2023,28.2366,24.8408,31.8323
Newcastle upon Tyne,2024,27.6958,24.1379,31.1912
Newcastle upon Tyne,2025,28.0851,24.1669,32.0461
Nottingham,2021,30.3257,28.0202,32.5743
Nottingham,2022,27.9672,25.7329,30.228
Nottingham,2023,27.4067,23.8655,30.9244
Nottingham,2024,35.3468,31.6129,39.0323
Nottingham,2025,33.2106,29.1274,37.2246
Peterborough,2021,32.1524,27.7354,36.8957
Peterborough,2022,26.4639,22.0513,31.0256
Peterborough,2023,32.1915,28.6982,35.6509
Peterborough,2024,37.105,33.5735,40.634
Peterborough,2025,38.8642,35.4555,42.2078
Plymouth,2021,33.5553,29.0993,38.1062
Plymouth,2022,25.9592,21.5539,30.0815
Plymouth,2023,32.5821,28.7215,36.4273
Plymouth,2024,30.5538,26.7273,34.3636
Plymouth,2025,30.9809,27.26,34.6701
Sunderland,2021,35.3591,30.7692,39.9504
Sunderland,2022,30.364,26.1441,34.8668
Sunderland,2023,32.813,29.8799,35.8591
Sunderland,2024,42.603,38.676,46.6899
Sunderland,2025,41.0775,37.731,44.5243
York,2021,18.5574,14.8585,22.1698
York,2022,23.543,19.4313,27.7251
York,2023,25.2245,20.5128,30.1282
York,2024,18.4652,14.4476,22.3796
York,2025,20.312,15.8553,24.7003
