city,year,value,ci_lower,ci_upper
Birmingham,2020,28.2,25.3,31.1
Birmingham,2021,28.6,25.9,31.3
Birmingham,2022,28.6,25.9,31.3
Birmingham,2023,28.3,25,31.6
Brighton,2020,18.4,15.2,21.6
Brighton,2021,18.3,15.2,21.4
Brighton,2022,20.8,17.1,24.5
Brighton,2023,20.9,16.1,25.7
Bristol,2020,18.6,15.8,21.4
Bristol,2021,19.3,16.5,22.1
Bristol,2022,19.2,16.3,22.1
Bristol,2023,20.8,17.3,24.3
Canterbury,2020,16.8,11.3,22.3
Canterbury,2021,21.1,15.8,26.4
Canterbury,2022,30.4,23.7,37.1
Canterbury,2023,27.7,18.3,37.1
Exeter,2020,20.2,13.6,26.8
Exeter,2021,22.1,15.6,28.6
Exeter,2022,26.6,19.8,33.4
Exeter,2023,19.3,11.8,26.8
Leeds,2020,16.3,14,18.6
Leeds,2021,23,20.2,25.8
Leeds,2022,20.7,17.9,23.5
Leeds,2023,23.1,19.5,26.7
London,2020,20,19.2,20.8
London,2021,20.6,19.8,21.4
London,2022,20.2,19.3,21.1
London,2023,21.4,20.3,22.5
Manchester,2020,26.7,23.1,30.3
Manchester,2021,24.1,20.4,27.8
Manchester,2022,27.9,23.8,32
Manchester,2023,25.5,20.5,30.5
Middlesbrough,2020,31.1,27.5,34.7
Middlesbrough,2021,28.2,24.4,32
Middlesbrough,2022,29.3,25.3,33.3
Middlesbrough,2023,29.2,24.7,33.7
Newcastle upon Tyne,2020,24,20.5,27.5
Newcastle upon Tyne,2021,24.9,21.3,28.5
Newcastle upon Tyne,2022,29.4,25.5,33.3
Newcastle upon Tyne,2023,24,19.6,28.4
Nottingham,2020,23.4,20.2,26.6
Nottingham,2021,24.4,21,27.8
Nottingham,2022,32,28.2,35.8
Nottingham,2023,29.7,25.7,33.7
Peterborough,2020,21.4,18.1,24.7
Peterborough,2021,23.2,19.3,27.1
Peterborough,2022,16.7,13,20.4
Peterborough,2023,17.2,12.9,21.5
Plymouth,2020,20.7,17.6,23.8
Plymouth,2021,21.5,17.9,25.1
Plymouth,2022,23.7,19.5,27.9
Plymouth,2023,25.1,20.8,29.4
Sunderland,2020,24.8,21.6,28
Sunderland,2021,27.5,24,31
Sunderland,2022,26.3,22.6,30
Sunderland,2023,24.8,20.9,28.7
York,2020,20.4,17.2,23.6
York,2021,17.9,14.8,21
York,2022,13.5,10.6,16.4
York,2023,18.6,15.1,22.1
