city,year,value,ci_lower,ci_upper
Birmingham,2020,65.4,62.4,68.4
Birmingham,2021,64.6,61.7,67.5
Birmingham,2022,66.3,63.4,69.2
Birmingham,2023,65.9,62.4,69.4
Brighton,2020,75.1,71.5,78.7
Brighton,2021,77.6,74.3,80.9
Brighton,2022,76.1,72.2,80
Brighton,2023,75.7,70.7,80.7
Bristol,2020,77.2,74.2,80.2
Bristol,2021,78,75.1,80.9
Bristol,2022,78.5,75.5,81.5
Bristol,2023,76.1,72.4,79.8
Canterbury,2020,80.3,74.5,86.1
Canterbury,2021,76.5,71,82
Canterbury,2022,69,62.2,75.8
Canterbury,2023,67.2,57.3,77.1
Exeter,2020,76.2,69.2,83.2
Exeter,2021,77.4,70.8,84
Exeter,2022,70.4,63.3,77.5
Exeter,2023,78.8,71.1,86.5
Leeds,2020,80.2,77.7,82.7
Leeds,2021,72.7,69.8,75.6
Leeds,2022,77.3,74.4,80.2
Leeds,2023,74.7,71,78.4
London,2020,75.2,74.3,76.1
London,2021,74.9,74,75.8
London,2022,76.2,75.3,77.1
London,2023,74.6,73.5,75.7
Manchester,2020,67,63.1,70.9
Manchester,2021,69.1,65.1,73.1
Manchester,2022,67.8,63.6,72
Manchester,2023,71.4,66.2,76.6
Middlesbrough,2020,65,61.2,68.8
Middlesbrough,2021,65.3,61.3,69.3
Middlesbrough,2022,65.9,61.7,70.1
Middlesbrough,2023,64.4,59.6,69.2
Newcastle upon Tyne,2020,71.3,67.6,75
Newcastle upon Tyne,2021,69.7,65.8,73.6
Newcastle upon Tyne,2022,67.7,63.7,71.7
Newcastle upon Tyne,2023,74.3,69.7,78.9
Nottingham,2020,71.7,68.3,75.1
Nottingham,2021,71.7,68.1,75.3
Nottingham,2022,63.7,59.8,67.6
Nottingham,2023,66.1,62.0,70.2
Peterborough,2020,74.6,71.1,78.1
Peterborough,2021,74.8,70.8,78.8
Peterborough,2022,79.3,75.3,83.3
Peterborough,2023,80,75.4,84.6
Plymouth,2020,75.7,72.4,79
Plymouth,2021,75.4,71.7,79.1
Plymouth,2022,73.6,69.3,77.9
Plymouth,2023,72.9,68.5,77.3
Sunderland,2020,70.3,67,73.6
Sunderland,2021,68.8,65.2,72.4
Sunderland,2022,71,67.2,74.8
Sunderland,2023,72.4,68.4,76.4
York,2020,77.9,74.6,81.2
York,2021,80.5,77.3,83.7
York,2022,85.5,82.6,88.4
York,2023,79.4,75.7,83.1
