city,year,value,ci_lower,ci_upper
Birmingham,2020,7.16,6.94,7.38
Birmingham,2021,7.32,7.14,7.49
Birmingham,2022,7.18,6.93,7.42
Brighton,2020,7.14,6.92,7.35
Brighton,2021,7.26,7.02,7.49
Brighton,2022,7.03,6.63,7.42
Bristol,2020,6.99,6.8,7.18
Bristol,2021,7.25,7.03,7.48
Bristol,2022,7.2,6.65,7.74
Canterbury,2020,7.2,6.68,7.71
Canterbury,2021,7.39,6.89,7.88
Canterbury,2022,7.37,6.97,7.77
Exeter,2020,7.25,6.86,7.63
Exeter,2021,7.17,6.52,7.81
Exeter,2022,7.34,6.9,7.78
Leeds,2020,7.2,6.98,7.41
Leeds,2021,7.35,7.17,7.54
Leeds,2022,7.28,7.02,7.54
London,2020,7.25,7.19,7.3
London,2021,7.37,7.3,7.43
London,2022,7.32,7.25,7.39
Manchester,2020,7.12,6.87,7.38
Manchester,2021,7.26,7.01,7.51
Manchester,2022,6.85,6.5,7.2
Middlesbrough,2020,7.26,7.05,7.48
Middlesbrough,2021,7.41,7.2,7.62
Middlesbrough,2022,7.05,6.73,7.37
Newcastle upon Tyne,2020,7.3,7.07,7.53
Newcastle upon Tyne,2021,7.49,7.26,7.73
Newcastle upon Tyne,2022,7.28,6.97,7.58
Nottingham,2020,7.13,6.9,7.36
Nottingham,2021,7.2,6.9,7.51
Nottingham,2022,7.24,6.92,7.56
Peterborough,2020,7.29,7.05,7.52
Peterborough,2021,7.26,6.98,7.53
Peterborough,2022,7.14,6.87,7.4
Plymouth,2020,7.44,7.23,7.65
Plymouth,2021,7.53,7.31,7.75
Plymouth,2022,7.71,7.49,7.93
Sunderland,2020,7.1,6.9,7.31
Sunderland,2021,7.1,6.86,7.33
Sunderland,2022,7.33,7.09,7.57
York,2020,7.39,7.16,7.61
York,2021,7.34,7.1,7.59
York,2022,7.45,7.23,7.67
