city,year,value
Birmingham,2020,6.4
Birmingham,2021,6.8
Birmingham,2022,5.1
Birmingham,2023,5.8
Brighton,2020,6.5
Brighton,2021,4.1
Brighton,2022,3.1
Brighton,2023,3.4
Bristol,2020,4.2
Bristol,2021,2.7
Bristol,2022,2.3
Bristol,2023,3.1
Canterbury,2020,2.9
Canterbury,2021,2.4
Canterbury,2022,0.6
Canterbury,2023,5.1
Exeter,2020,3.6
Exeter,2021,0.5
Exeter,2022,3.0
Exeter,2023,1.9
Leeds,2020,3.5
Leeds,2021,4.3
Leeds,2022,2.0
Leeds,2023,2.2
London,2020,4.8
London,2021,4.5
London,2022,3.6
London,2023,4.0
Manchester,2020,6.3
Manchester,2021,6.8
Manchester,2022,4.3
Manchester,2023,3.1
Middlesbrough,2020,3.9
Middlesbrough,2021,6.5
Middlesbrough,2022,4.8
Middlesbrough,2023,6.4
Newcastle upon Tyne,2020,4.7
Newcastle upon Tyne,2021,5.4
Newcastle upon Tyne,2022,2.9
Newcastle upon Tyne,2023,1.7
Nottingham,2020,4.9
Nottingham,2021,3.9
Nottingham,2022,4.3
Nottingham,2023,4.2
Peterborough,2020,4.0
Peterborough,2021,2.0
Peterborough,2022,4.0
Peterborough,2023,2.8
Plymouth,2020,3.6
Plymouth,2021,3.1
Plymouth,2022,2.7
Plymouth,2023,2.0
Sunderland,2020,4.9
Sunderland,2021,3.7
Sunderland,2022,2.7
Sunderland,2023,2.8
York,2020,1.7
York,2021,1.6
York,2022,1.0
York,2023,2.0
