,TOTAL,Major depressive episode,Other depressive disorders,Without any depressive symptoms,No record
BOTH SEXES,,,,,
TOTAL,"41,929.20","3,239.20","2,695.10","34,670.00","1,324.80"
Ages 15 to 24,"5,239.50",299.6,229.1,"4,548.10",162.5
From 25 to 34 years old,"5,445.60",387.6,304,"4,613.10",140.8
From 35 to 44 years old,"6,657.30",441.3,322.4,"5,708.60",184.8
From 45 to 54 years old,"7,939.80",595,494.8,"6,629.60",220.3
From 55 to 64 years old,"6,862.40",532.4,503.9,"5,597.00",228.9
From 65 to 74 years old,"4,988.60",330.7,331.7,"4,184.60",141.5
From 75 to 84 years old,"3,298.20",358.6,303.1,"2,501.50",134.8
Ages 85 and over,"1,497.40",293.6,205.7,887.2,110.8
Men,,,,,
TOTAL,"20,391.20","1,252.90","1,066.10","17,418.40",653.7
Ages 15 to 24,"2,696.70",114.5,121.3,"2,345.60",115.1
From 25 to 34 years old,"2,759.20",169,116.9,"2,397.10",76
From 35 to 44 years old,"3,322.70",178.3,130.4,"2,913.70",100
From 45 to 54 years old,"3,983.70",261.9,223.2,"3,383.70",114.7
From 55 to 64 years old,"3,351.70",223.2,204.1,"2,805.60",118.6
From 65 to 74 years old,"2,340.20",110.2,127.6,"2,042.70",59.6
From 75 to 84 years old,"1,445.60",108.4,102.4,"1,185.00",49.7
Ages 85 and over,491.1,86.9,39.9,344.6,19.6
Women,,,,,
TOTAL,"21,538.00","1,986.30","1,628.90","17,251.60",671.1
Ages 15 to 24,"2,542.80",185,107.7,"2,202.50",47.4
From 25 to 34 years old,"2,686.40",218.6,187,"2,215.90",64.7
From 35 to 44 years old,"3,334.60",262.9,192,"2,794.80",84.7
From 45 to 54 years old,"3,956.10",333,271.5,"3,245.80",105.6
From 55 to 64 years old,"3,510.70",309.1,299.8,"2,791.30",110.3
From 65 to 74 years old,"2,648.30",220.5,204,"2,141.90",81.8
From 75 to 84 years old,"1,852.60",250.1,200.7,"1,316.50",85.1
Ages 85 and over,"1,006.20",206.7,165.8,542.5,91.1
