Date,Unemployment Rate,Male unemployment,Female unemployment,Country
01/12/2021,13.30%,11.80%,15.10%,Spain
01/11/2021,13.50%,12.00%,15.30%,Spain
01/10/2021,13.90%,12.40%,15.60%,Spain
01/09/2021,14.40%,13.00%,15.90%,Spain
01/08/2021,14.80%,13.40%,16.40%,Spain
01/07/2021,15.20%,13.70%,17.00%,Spain
01/06/2021,15.60%,13.80%,17.60%,Spain
01/05/2021,15.70%,13.70%,17.90%,Spain
01/04/2021,15.70%,13.70%,18.00%,Spain
01/03/2021,15.50%,13.60%,17.70%,Spain
01/02/2021,15.70%,13.80%,17.80%,Spain
01/01/2021,15.90%,14.00%,18.00%,Spain
01/12/2022,13.20%,11.60%,14.90%,Spain
01/11/2022,13.20%,11.60%,14.90%,Spain
01/10/2022,13.10%,11.40%,14.90%,Spain
01/09/2022,13.00%,11.20%,15.00%,Spain
01/08/2022,12.80%,10.90%,14.90%,Spain
01/07/2022,12.70%,10.90%,14.80%,Spain
01/06/2022,12.90%,11.10%,14.80%,Spain
01/05/2022,12.90%,11.30%,14.70%,Spain
01/04/2022,13.20%,11.60%,14.90%,Spain
01/03/2022,13.30%,11.80%,15.00%,Spain
01/02/2022,13.20%,11.70%,15.00%,Spain
01/01/2022,13.30%,11.70%,15.00%,Spain
01/12/2023,11.90%,10.50%,13.50%,Spain
01/11/2023,12.00%,10.50%,13.60%,Spain
01/10/2023,12.00%,10.60%,13.70%,Spain
01/09/2023,12.00%,10.50%,13.60%,Spain
01/08/2023,12.00%,10.50%,13.60%,Spain
01/07/2023,12.00%,10.50%,13.60%,Spain
01/06/2023,11.90%,10.40%,13.50%,Spain
01/05/2023,12.00%,10.50%,13.70%,Spain
01/04/2023,12.10%,10.50%,13.90%,Spain
01/03/2023,12.50%,10.90%,14.40%,Spain
01/02/2023,12.90%,11.20%,14.80%,Spain
01/01/2023,13.10%,11.50%,15.00%,Spain
01/12/2024,10.80%,9.60%,12.20%,Spain
01/11/2024,10.80%,9.70%,12.10%,Spain
01/10/2024,10.90%,9.80%,12.20%,Spain
01/09/2024,11.10%,10.00%,12.30%,Spain
01/08/2024,11.30%,10.20%,12.50%,Spain
