city,2021,2022,2023,2024,2025
Birmingham,27.71623,25.91325,29.26302,27.87532,28.5963
Brighton,19.12,15.10402,20.11886,18.61117,18.2539
Bristol,24.82034,22.34376,20.33342,19.18251,19.2712
Canterbury,29.53823,21.4548,21.61933,27.15656,25.1839
Exeter,20.2442,21.13116,22.89027,21.65897,22.434
Leeds,27.26572,26.22084,27.23477,26.55064,27.8642
London,19.74222,20.88973,20.24864,20.41606,20.8731
Manchester,25.35505,27.28058,23.51421,26.96294,25.7724
Middlesbrough,35.29352,34.67974,35.29542,34.23559,35.6616
Newcastle upon Tyne,24.66129,29.86422,28.23664,27.69578,28.0851
Nottingham,30.32567,27.96719,27.40668,35.34678,33.2106
Peterborough,32.15236,26.4639,32.19148,37.10497,38.8642
Plymouth,33.55532,25.95921,32.58212,30.55384,30.9809
Sunderland,35.35909,30.36396,32.81298,42.60298,41.0775
York,18.5574,23.54297,25.2245,18.46517,20.312
