city,2020,2021,2022,2023
Middlesbrough,15817,16137,16755,17872
York,20327,21010,21955,23553
Nottingham,14254,14882,15562,16823
Bristol,20455,21370,22741,24696
Plymouth,17237,17871,18670,20223
Peterborough,17455,17809,18938,20393
Brighton,23950,25135,26701,28857
Exeter,18107,18527,19123,20569
Canterbury,19951,20881,21792,23272
Manchester,16311,17030,17830,18945
Newcastle upon Tyne,16740,17495,18257,19661
Sunderland,16145,16753,17402,18751
Birmingham,15450,16083,16996,18312
Leeds,18505,19049,20073,21694
London,29162,30714,32553,35361
