city,2021,2022,2023,2024,2025
Birmingham,7.31,7.01,7.1,6.77,6.53
Brighton,12.38,12.05,12.1,10.68,10.55
Bristol,9.67,9.49,9.48,8.6,8.88
Canterbury,11.36,10,10.34,9.59,9.16
Exeter,9.28,9.45,10,8.46,8.69
Leeds,7.14,6.81,6.93,6.58,6.67
London,13.58,13.17,12.5,11.83,11.35
Manchester,8.18,8.25,7.4,7.88,6.82
Middlesbrough,5.33,5.1,5.16,4.73,4.36
Newcastle upon Tyne,6.14,6.13,6.28,5.6,5.89
Nottingham,6.71,6.59,6.67,6.34,6.49
Peterborough,7.75,7.7,7.4,6.91,6.88
Plymouth,7.53,7.61,6.69,6.39,6.39
Sunderland,5.83,5.27,5.07,4.59,4.64
York,8.87,8.96,9.29,8.53,7.53
