YEAR_MONTH,CITY,SUBSTANCE,CLASS,ITEMS,ACTUAL_COST
202101,Birmingham,Agomelatine,antidepressant,10.0000,477.1802
202101,Birmingham,Amitriptyline hydrochloride,antidepressant,18253.0000,37451.0438
202101,Birmingham,Amobarbital sodium,anxiolytic,1.0000,216.8842
202101,Birmingham,Bupropion hydrochloride,antidepressant,12.0000,577.3022
202101,Birmingham,Buspirone hydrochloride,anxiolytic,214.0000,3823.5488
202101,Birmingham,Butobarbital,anxiolytic,1.0000,4.0495
202101,Birmingham,Chloral hydrate,anxiolytic,15.0000,3097.4258
202101,Birmingham,Chlordiazepoxide hydrochloride,anxiolytic,43.0000,390.9481
202101,Birmingham,Citalopram hydrobromide,antidepressant,18025.0000,26077.4992
202101,Birmingham,Citalopram hydrochloride,antidepressant,137.0000,1906.7402
202101,Birmingham,Clobazam,anxiolytic,665.0000,22246.9053
202101,Birmingham,Clomethiazole,anxiolytic,20.0000,435.3637
202101,Birmingham,Clomethiazole edisilate,anxiolytic,1.0000,27.9349
202101,Birmingham,Clomipramine hydrochloride,antidepressant,220.0000,2263.3499
202101,Birmingham,Clonazepam,anxiolytic,847.0000,15972.9763
202101,Birmingham,Diazepam,anxiolytic,6601.0000,20523.3540
202101,Birmingham,Dosulepin hydrochloride,antidepressant,528.0000,8984.5374
202101,Birmingham,Doxepin,antidepressant,9.0000,1964.9259
202101,Birmingham,Duloxetine hydrochloride,antidepressant,3897.0000,16599.9193
202101,Birmingham,Escitalopram,antidepressant,1571.0000,3885.2676
202101,Birmingham,Fluoxetine hydrochloride,antidepressant,7773.0000,34456.2315
202101,Birmingham,Flupentixol decanoate,antidepressant,35.0000,1009.9424
202101,Birmingham,Flupentixol hydrochloride,antidepressant,169.0000,780.8379
202101,Birmingham,Fluvoxamine maleate,antidepressant,46.0000,1054.5042
202101,Birmingham,Imipramine hydrochloride,antidepressant,84.0000,1578.5654
202101,Birmingham,Isocarboxazid,antidepressant,2.0000,651.8201
202101,Birmingham,Lofepramine hydrochloride,antidepressant,143.0000,3255.9705
202101,Birmingham,Loprazolam mesilate,anxiolytic,15.0000,418.7884
202101,Birmingham,Lorazepam,anxiolytic,1972.0000,12497.3096
202101,Birmingham,Lormetazepam,anxiolytic,8.0000,165.6537
202101,Birmingham,Melatonin,anxiolytic,1556.0000,111661.2860
202101,Birmingham,Mianserin hydrochloride,antidepressant,1.0000,13.1360
202101,Birmingham,Midazolam hydrochloride,anxiolytic,107.0000,9555.5144
202101,Birmingham,Midazolam maleate,anxiolytic,23.0000,5117.6352
202101,Birmingham,Mirtazapine,antidepressant,15534.0000,44376.5102
202101,Birmingham,Moclobemide,antidepressant,9.0000,406.0744
202101,Birmingham,Nitrazepam,anxiolytic,421.0000,7249.5533
202101,Birmingham,Nortriptyline,antidepressant,394.0000,2140.2006
202101,Birmingham,Oxazepam,anxiolytic,35.0000,442.5541
202101,Birmingham,Paroxetine hydrochloride,antidepressant,1866.0000,6778.7720
202101,Birmingham,Phenobarbital,anxiolytic,213.0000,18322.5037
202101,Birmingham,Phenobarbital sodium,anxiolytic,1.0000,651.5377
202101,Birmingham,Pregabalin,anxiolytic,13060.0000,70611.1875
202101,Birmingham,Promethazine teoclate,anxiolytic,25.0000,87.7070
202101,Birmingham,Reboxetine,antidepressant,15.0000,208.5687
202101,Birmingham,Sertraline hydrochloride,antidepressant,26287.0000,213101.5259
202101,Birmingham,Temazepam,anxiolytic,911.0000,2113.3856
202101,Birmingham,Tranylcypromine sulfate,antidepressant,3.0000,2395.3702
202101,Birmingham,Trazodone hydrochloride,antidepressant,323.0000,1453.7384
202101,Birmingham,Trimipramine maleate,antidepressant,12.0000,3798.2972
202101,Birmingham,Tryptophan,antidepressant,1.0000,26.1734
