date,city,substance,units,items
202101,Birmingham,Colecalciferol,1000,462.0
202101,Birmingham,Colecalciferol,10000,22.0
202101,Birmingham,Colecalciferol,200,2293.0
202101,Birmingham,Colecalciferol,2000,29.0
202101,Birmingham,Colecalciferol,20000,412.0
202101,Birmingham,Colecalciferol,2200,3.0
202101,Birmingham,Colecalciferol,2400,18.0
202101,Birmingham,Colecalciferol,2500,1.0
202101,Birmingham,Colecalciferol,25000,348.0
202101,Birmingham,Colecalciferol,2740,4.0
202101,Birmingham,Colecalciferol,3000,22.0
202101,Birmingham,Colecalciferol,30000,1.0
202101,Birmingham,Colecalciferol,3200,120.0
202101,Birmingham,Colecalciferol,400,1292.0
202101,Birmingham,Colecalciferol,4000,11.0
202101,Birmingham,Colecalciferol,440,9.0
202101,Birmingham,Colecalciferol,5000,3.0
202101,Birmingham,Colecalciferol,50000,421.0
202101,Birmingham,Colecalciferol,5600,9.0
202101,Birmingham,Colecalciferol,800,3694.0
202101,Birmingham,Colecalciferol,880,243.0
202101,Birmingham,Colecalciferol,unknown,2172.0
202101,Brighton,Colecalciferol,200,14.0
202101,Brighton,Colecalciferol,20000,14.0
202101,Brighton,Colecalciferol,3200,3.0
202101,Brighton,Colecalciferol,400,129.0
202101,Brighton,Colecalciferol,4000,2.0
202101,Brighton,Colecalciferol,440,4.0
202101,Brighton,Colecalciferol,800,41.0
202101,Brighton,Colecalciferol,unknown,60.0
202101,Bristol,Colecalciferol,1000,254.0
202101,Bristol,Colecalciferol,10000,7.0
202101,Bristol,Colecalciferol,200,733.0
202101,Bristol,Colecalciferol,2000,3.0
202101,Bristol,Colecalciferol,20000,54.0
202101,Bristol,Colecalciferol,2200,1.0
202101,Bristol,Colecalciferol,25000,98.0
202101,Bristol,Colecalciferol,3000,5.0
202101,Bristol,Colecalciferol,3200,7.0
202101,Bristol,Colecalciferol,400,1618.0
202101,Bristol,Colecalciferol,4000,1.0
202101,Bristol,Colecalciferol,40000,2.0
202101,Bristol,Colecalciferol,440,7.0
202101,Bristol,Colecalciferol,50000,29.0
202101,Bristol,Colecalciferol,800,1905.0
202101,Bristol,Colecalciferol,880,135.0
202101,Bristol,Colecalciferol,unknown,1452.0
202101,Canterbury,Colecalciferol,1000,214.0
202101,Canterbury,Colecalciferol,10000,4.0
202101,Canterbury,Colecalciferol,200,396.0
202101,Canterbury,Colecalciferol,2000,5.0
202101,Canterbury,Colecalciferol,20000,11.0
202101,Canterbury,Colecalciferol,2200,1.0
202101,Canterbury,Colecalciferol,2500,3.0
202101,Canterbury,Colecalciferol,3200,5.0
202101,Canterbury,Colecalciferol,400,596.0
202101,Canterbury,Colecalciferol,4000,1.0
202101,Canterbury,Colecalciferol,440,3.0
202101,Canterbury,Colecalciferol,5000,2.0
202101,Canterbury,Colecalciferol,600,1.0
202101,Canterbury,Colecalciferol,800,261.0
202101,Canterbury,Colecalciferol,880,21.0
202101,Canterbury,Colecalciferol,unknown,569.0
202101,Exeter,Colecalciferol,1000,31.0
202101,Exeter,Colecalciferol,200,17.0
202101,Exeter,Colecalciferol,400,9.0
202101,Exeter,Colecalciferol,800,12.0
202101,Exeter,Colecalciferol,880,136.0
202101,Exeter,Colecalciferol,unknown,93.0
202101,Leeds,Colecalciferol,1000,547.0
202101,Leeds,Colecalciferol,10000,7.0
202101,Leeds,Colecalciferol,200,139.0
202101,Leeds,Colecalciferol,2000,11.0
202101,Leeds,Colecalciferol,20000,152.0
202101,Leeds,Colecalciferol,2400,3.0
202101,Leeds,Colecalciferol,2500,1.0
202101,Leeds,Colecalciferol,25000,29.0
202101,Leeds,Colecalciferol,3200,9.0
202101,Leeds,Colecalciferol,400,780.0
202101,Leeds,Colecalciferol,40000,17.0
202101,Leeds,Colecalciferol,50000,8.0
202101,Leeds,Colecalciferol,800,350.0
202101,Leeds,Colecalciferol,880,9.0
202101,Leeds,Colecalciferol,unknown,614.0
202101,London,Colecalciferol,1000,25132.0
202101,London,Colecalciferol,10000,555.0
202101,London,Colecalciferol,14400,1.0
202101,London,Colecalciferol,15000,15.0
202101,London,Colecalciferol,200,17081.0
202101,London,Colecalciferol,2000,839.0
202101,London,Colecalciferol,20000,11413.0
202101,London,Colecalciferol,2200,60.0
202101,London,Colecalciferol,2400,121.0
202101,London,Colecalciferol,2500,55.0
202101,London,Colecalciferol,25000,2060.0
202101,London,Colecalciferol,2740,72.0
202101,London,Colecalciferol,3000,265.0
202101,London,Colecalciferol,30000,5.0
202101,London,Colecalciferol,300000,8.0
202101,London,Colecalciferol,3200,311.0
202101,London,Colecalciferol,400,44056.0
202101,London,Colecalciferol,4000,151.0
202101,London,Colecalciferol,40000,335.0
202101,London,Colecalciferol,440,261.0
202101,London,Colecalciferol,5000,407.0
202101,London,Colecalciferol,50000,45.0
202101,London,Colecalciferol,5600,14.0
202101,London,Colecalciferol,600,29.0
202101,London,Colecalciferol,800,22784.0
202101,London,Colecalciferol,880,2268.0
202101,London,Colecalciferol,unknown,40254.0
202101,Manchester,Colecalciferol,1000,400.0
202101,Manchester,Colecalciferol,10000,26.0
202101,Manchester,Colecalciferol,15000,2.0
202101,Manchester,Colecalciferol,200,3424.0
202101,Manchester,Colecalciferol,2000,21.0
202101,Manchester,Colecalciferol,20000,1401.0
202101,Manchester,Colecalciferol,2200,2.0
202101,Manchester,Colecalciferol,2400,8.0
202101,Manchester,Colecalciferol,2500,1.0
202101,Manchester,Colecalciferol,25000,57.0
202101,Manchester,Colecalciferol,2740,14.0
202101,Manchester,Colecalciferol,3000,2.0
202101,Manchester,Colecalciferol,3200,57.0
202101,Manchester,Colecalciferol,400,2556.0
202101,Manchester,Colecalciferol,4000,18.0
202101,Manchester,Colecalciferol,40000,22.0
202101,Manchester,Colecalciferol,440,15.0
202101,Manchester,Colecalciferol,5000,8.0
202101,Manchester,Colecalciferol,50000,40.0
202101,Manchester,Colecalciferol,5600,6.0
202101,Manchester,Colecalciferol,600,4.0
202101,Manchester,Colecalciferol,800,1617.0
202101,Manchester,Colecalciferol,880,425.0
202101,Manchester,Colecalciferol,unknown,5378.0
202101,Middlesbrough,Colecalciferol,1000,34.0
202101,Middlesbrough,Colecalciferol,10000,2.0
202101,Middlesbrough,Colecalciferol,200,70.0
202101,Middlesbrough,Colecalciferol,2000,4.0
202101,Middlesbrough,Colecalciferol,20000,17.0
202101,Middlesbrough,Colecalciferol,3200,2.0
202101,Middlesbrough,Colecalciferol,400,167.0
202101,Middlesbrough,Colecalciferol,4000,3.0
202101,Middlesbrough,Colecalciferol,440,1.0
202101,Middlesbrough,Colecalciferol,800,264.0
202101,Middlesbrough,Colecalciferol,880,2.0
202101,Middlesbrough,Colecalciferol,unknown,156.0
202101,Newcastle upon Tyne,Colecalciferol,1000,25.0
202101,Newcastle upon Tyne,Colecalciferol,10000,1.0
202101,Newcastle upon Tyne,Colecalciferol,200,215.0
202101,Newcastle upon Tyne,Colecalciferol,2000,2.0
202101,Newcastle upon Tyne,Colecalciferol,20000,120.0
202101,Newcastle upon Tyne,Colecalciferol,2400,2.0
202101,Newcastle upon Tyne,Colecalciferol,25000,5.0
202101,Newcastle upon Tyne,Colecalciferol,2740,18.0
202101,Newcastle upon Tyne,Colecalciferol,3000,1.0
202101,Newcastle upon Tyne,Colecalciferol,400,1646.0
202101,Newcastle upon Tyne,Colecalciferol,4000,1.0
202101,Newcastle upon Tyne,Colecalciferol,440,4.0
202101,Newcastle upon Tyne,Colecalciferol,50000,1.0
202101,Newcastle upon Tyne,Colecalciferol,5600,1.0
202101,Newcastle upon Tyne,Colecalciferol,800,3474.0
202101,Newcastle upon Tyne,Colecalciferol,880,12.0
202101,Newcastle upon Tyne,Colecalciferol,unknown,745.0
202101,Nottingham,Colecalciferol,1000,1614.0
202101,Nottingham,Colecalciferol,10000,6.0
202101,Nottingham,Colecalciferol,200,667.0
202101,Nottingham,Colecalciferol,2000,5.0
202101,Nottingham,Colecalciferol,20000,111.0
202101,Nottingham,Colecalciferol,2200,3.0
