Year,tmax,tmin,"fog,days","rain,mm","sun,min","sun,hours",city
2021-01,7,1.3,12,96.6,1764,29.4,London
2021-02,9.1,3.1,7,36.4,3474,57.9,London
2021-03,12.1,4.1,1,24.6,5484,91.4,London
2021-04,13.1,2.9,5,7.2,12156,202.6,London
2021-05,16.5,7.2,0,84.6,7914,131.9,London
2021-06,22.5,13.3,0,88.2,9576,159.6,London
2021-07,24.2,14.9,0,61.2,10266,171.1,London
2021-08,21.9,13.4,0,42.2,5736,95.6,London
2021-09,22.3,13.3,0,52.4,7440,124.0,London
2021-10,16.9,9.7,0,87.6,5052,84.2,London
2021-11,11.4,4.5,3,10.2,4068,67.8,London
2021-12,10.1,5.3,3,71.2,1266,21.1,London
2022-01,8.9,1.9,9,17.2,4026,67.1,London
2022-02,11.3,4,3,49.6,4704,78.4,London
2022-03,13.2,4.9,1,31.4,9432,157.2,London
2022-04,16.1,5.7,1,16.4,10032,167.2,London
2022-05,20.2,10.1,0,34.2,9318,155.3,London
2022-06,23.2,11.9,0,24,12732,212.2,London
2022-07,27.2,15.5,0,7.6,13266,221.1,London
2022-08,27,15.9,0,54.4,14058,234.3,London
2022-09,20.2,11.8,0,86,7146,119.1,London
2022-10,18.3,10.4,0,81.4,7968,132.8,London
2022-11,13.2,7.6,0,123.8,4194,69.9,London
2022-12,7.9,1.7,11,51.6,3384,56.4,London
2023-01,9,2.5,10,59,4092,68.2,London
2023-02,10.8,3.4,6,4.2,4878,81.3,London
2023-03,11.5,5.2,1,92.4,3612,60.2,London
2023-04,14.6,5.9,0,65.8,9066,151.1,London
2023-05,18.6,9.3,0,38.4,11796,196.6,London
2023-06,25.3,13.5,0,56.8,15012,250.2,London
2023-07,22.9,14,0,61.4,9006,150.1,London
2023-08,23,13.8,0,53,10266,171.1,London
2023-09,24.4,14.7,0,59.4,10074,167.9,London
2023-10,18.1,10.2,0,116.8,6774,112.9,London
2023-11,11.8,5.4,3,78.4,4494,74.9,London
2023-12,10.9,5.9,3,76.4,1260,21.0,London
2024-01,8.4,2.5,8,50.6,4284,71.4,London
2024-02,12.2,6,2,100.4,2916,48.6,London
2024-03,13.1,5.9,0,85,5694,94.9,London
2024-04,15,7.2,0,68.6,7578,126.3,London
2024-05,19.6,10.6,0,54.4,9852,164.2,London
2024-06,22,11.1,0,12.4,12342,205.7,London
2024-07,23.5,13.8,0,83.6,10692,178.2,London
2024-08,24.5,14.6,0,28.4,11316,188.6,London
2024-09,20.1,11.9,0,114.8,7314,121.9,London
2024-10,16.4,9.4,0,57.2,4836,80.6,London
2024-11,11.2,6,4,62.2,3162,52.7,London
2024-12,9.9,5.2,0,27.2,1230,20.5,London
2025-01,7.3,1.4,10,80.4,3114,51.9,London
2025-02,8.8,2.8,6,44.2,4044,67.4,London
2025-03,14.1,3.9,7,4.4,11274,187.9,London
2025-04,18.3,7,0,18.8,15138,252.3,London
2025-05,21.1,10.1,0,15.4,13530,225.5,London
2025-06,25.6,14.1,0,26.8,13848,230.8,London
2025-07,25.8,15.8,0,48.4,11418,190.3,London
2025-08,25,14.1,0,23,11520,192.0,London
2025-09,20.3,11.1,0,48.8,10254,170.9,London
